id,domanda,reale,alternative_json
1,is garrison from the ranch a real place,false,"[{""domanda_alt"": ""is garrison from the ranch a real place"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0002536577087410086, ""false"": 0.999718221933292, ""altro"": 2.58379180809331e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the fictional ranch called Garrison actually exist?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0013036525797372933, ""false"": 0.9986416149904971, ""altro"": 4.7769919493428544e-05}, ""ordine"": null}, {""domanda_alt"": ""Does \""the ranch\"" where Garrison is from exist?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0012183944755370833, ""false"": 0.9987172486334664, ""altro"": 5.3864500306904817e-05}, ""ordine"": null}, {""domanda_alt"": ""Does \""the ranch\"" where Garrison is from exist in reality?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0014600292892271416, ""false"": 0.9984783252565355, ""altro"": 5.165199140851708e-05}, ""ordine"": null}, {""domanda_alt"": ""Is \""the ranch\"" in Garrison a genuine location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00045482464800492174, ""false"": 0.9995091302422247, ""altro"": 3.216679593759939e-05}, ""ordine"": null}, {""domanda_alt"": ""Is \""The Ranch\"" in Garrison a factual location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0003144876791548692, ""false"": 0.9996589390010279, ""altro"": 2.4119551727381203e-05}, ""ordine"": null}, {""domanda_alt"": ""Is \""The Ranch\"" where Garrison lives a genuine location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0004081067478042756, ""false"": 0.9995536732913526, ""altro"": 3.407489397996911e-05}, ""ordine"": null}, {""domanda_alt"": ""Does \""the ranch\"" in Garrison exist as an actual location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0006982995500762006, ""false"": 0.9992602537791601, ""altro"": 3.686437498252596e-05}, ""ordine"": null}, {""domanda_alt"": ""Does \""the ranch\"" where Garrison is from exist in reality?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0014600292892271416, ""false"": 0.9984783252565355, ""altro"": 5.165199140851708e-05}, ""ordine"": null}, {""domanda_alt"": ""Does \""the ranch\"" mentioned in relation to Garrison exist as a genuine location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0016060621356392035, ""false"": 0.9983250520454817, ""altro"": 5.8691636499832845e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the fictional ranch \""Garrison\"" exist in reality?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0016231832805725448, ""false"": 0.9983091468009503, ""altro"": 5.733046525575378e-05}, ""ordine"": null}]"
2,are babies in the womb covered in hair,true,"[{""domanda_alt"": ""are babies in the womb covered in hair"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9995583680616644, ""false"": 0.00039764674668627643, ""altro"": 3.2688620153576044e-05}, ""ordine"": null}, {""domanda_alt"": ""Do unborn infants have hair growing on them?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9998226599718203, ""false"": 0.00015690896211047493, ""altro"": 1.812585119455141e-05}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses grow hair while in the womb?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9998884531317438, ""false"": 9.419041376140437e-05, ""altro"": 1.6068918035562276e-05}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses grow hair while they are developing?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999016315649921, ""false"": 8.325658794755778e-05, ""altro"": 1.3694779505962272e-05}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses have hair while they are developing?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.999873483159342, ""false"": 0.00010853757256003215, ""altro"": 1.64583179919519e-05}, ""ordine"": null}, {""domanda_alt"": ""Do unborn infants have hair?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9997541533760709, ""false"": 0.00022106786439168277, ""altro"": 2.0933196170730455e-05}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses have hair while they are developing?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.999873483159342, ""false"": 0.00010853757256003215, ""altro"": 1.64583179919519e-05}, ""ordine"": null}, {""domanda_alt"": ""Do unborn infants have hair?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9997541533760709, ""false"": 0.00022106786439168277, ""altro"": 2.0933196170730455e-05}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses grow hair while they are developing?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999016315649921, ""false"": 8.325658794755778e-05, ""altro"": 1.3694779505962272e-05}, ""ordine"": null}, {""domanda_alt"": ""Do unborn infants have hair while still developing?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9998672681801661, ""false"": 0.00011440000002960798, ""altro"": 1.669814121248308e-05}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses grow hair while they are developing?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999016315649921, ""false"": 8.325658794755778e-05, ""altro"": 1.3694779505962272e-05}, ""ordine"": null}]"
3,is an administrative law judge a real judge,true,"[{""domanda_alt"": ""is an administrative law judge a real judge"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999509400816177, ""false"": 3.5314130423263567e-05, ""altro"": 1.3322944794305727e-05}, ""ordine"": null}, {""domanda_alt"": ""Does an administrative law judge have the same legal standing as a traditional judge?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.16557499142891202, ""false"": 0.834091535965449, ""altro"": 0.00013983906449924107}, ""ordine"": null}, {""domanda_alt"": ""Does an administrative law judge possess the same legal standing as a traditional judge?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.1578929280395007, ""false"": 0.841822137973775, ""altro"": 0.00012593259603168745}, ""ordine"": null}, {""domanda_alt"": ""Does an administrative law judge possess the same legal standing as a traditional judge?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.1500368342663319, ""false"": 0.8496934565572302, ""altro"": 0.00011959207923136698}, ""ordine"": null}, {""domanda_alt"": ""Are administrative law judges considered legitimate judges?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.999849330984304, ""false"": 0.00013660259157936635, ""altro"": 1.1852259740893798e-05}, ""ordine"": null}, {""domanda_alt"": ""Do administrative law judges have the same legal standing as regular judges?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.22120473859597872, ""false"": 0.7784868367003805, ""altro"": 0.0001298029122708257}, ""ordine"": null}, {""domanda_alt"": ""Does an administrative law judge possess the same legal standing as a traditional judge?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.1578929280395007, ""false"": 0.841822137973775, ""altro"": 0.00012593259603168745}, ""ordine"": null}, {""domanda_alt"": ""Do administrative law judges possess the same legal authority as traditional judges?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.15341833838085453, ""false"": 0.8463218190788265, ""altro"": 0.00013706319184285956}, ""ordine"": null}, {""domanda_alt"": ""Does an administrative law judge hold the same judicial status as a traditional court judge?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.012894436999233537, ""false"": 0.9870144291182332, ""altro"": 5.4875323262457e-05}, ""ordine"": null}, {""domanda_alt"": ""Does an administrative law judge hold the same legal status as a traditional court judge?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.005618370627274057, ""false"": 0.9943206449595483, ""altro"": 4.244224661550214e-05}, ""ordine"": null}, {""domanda_alt"": ""Does an administrative law judge hold the same legal authority as a traditional judge?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.10813060125913602, ""false"": 0.8916380947332246, ""altro"": 0.00011949142619699024}, ""ordine"": null}]"
4,are there plants on the international space station,true,"[{""domanda_alt"": ""are there plants on the international space station"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999212811599818, ""false"": 3.899404886342662e-05, ""altro"": 3.316906205192694e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station have any plants?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9998630485121965, ""false"": 8.395448204247227e-05, ""altro"": 4.217399659362524e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station cultivate plants?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999550670958544, ""false"": 1.915493209180393e-05, ""altro"": 2.2222699263805227e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station cultivate plant life?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999580459171694, ""false"": 1.8162283586907453e-05, ""altro"": 2.105965058104481e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station cultivate plants?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999550670958544, ""false"": 1.915493209180393e-05, ""altro"": 2.2222699263805227e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station cultivate plants?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999577300708784, ""false"": 1.873393828224842e-05, ""altro"": 2.0750782688214777e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station have any plant life?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9998973976168538, ""false"": 6.38159883577239e-05, ""altro"": 3.106197027180824e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station cultivate plants?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999550670958544, ""false"": 1.915493209180393e-05, ""altro"": 2.2222699263805227e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station cultivate plants?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999577300708784, ""false"": 1.873393828224842e-05, ""altro"": 2.0750782688214777e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station have any plants?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9998630485121965, ""false"": 8.395448204247227e-05, ""altro"": 4.217399659362524e-05}, ""ordine"": null}, {""domanda_alt"": ""Do plants grow aboard the International Space Station?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999517045902933, ""false"": 2.0264525403971836e-05, ""altro"": 2.510678275319479e-05}, ""ordine"": null}]"
5,is hcf a not for profit health fund,true,"[{""domanda_alt"": ""is hcf a not for profit health fund"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.999961584879342, ""false"": 2.7639742518872574e-05, ""altro"": 1.0188336584141443e-05}, ""ordine"": null}, {""domanda_alt"": ""Does HCF operate as a non-profit health insurance organization?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999620475167316, ""false"": 2.6432318296969674e-05, ""altro"": 1.0927023149979343e-05}, ""ordine"": null}, {""domanda_alt"": ""Does HCF operate as a non-profit organization focused on healthcare?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999317740059793, ""false"": 5.105142610710745e-05, ""altro"": 1.6376381906504058e-05}, ""ordine"": null}, {""domanda_alt"": ""Does HCF operate as a non-profit healthcare fund?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999576732777313, ""false"": 3.098641043956865e-05, ""altro"": 1.0826888087292397e-05}, ""ordine"": null}, {""domanda_alt"": ""Does HCF operate as a non-profit organization in the healthcare sector?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999514666118368, ""false"": 3.639803009646027e-05, ""altro"": 1.1788153552495324e-05}, ""ordine"": null}, {""domanda_alt"": ""Does HCF operate as a non-profit healthcare fund?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999576732777313, ""false"": 3.098641043956865e-05, ""altro"": 1.0826888087292397e-05}, ""ordine"": null}, {""domanda_alt"": ""Is HCF a non-profit organization focused on healthcare?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999372016473986, ""false"": 4.541339704784661e-05, ""altro"": 1.6478721142286437e-05}, ""ordine"": null}, {""domanda_alt"": ""Does HCF operate as a non-profit organization focused on healthcare?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999317740059793, ""false"": 5.105142610710745e-05, ""altro"": 1.6376381906504058e-05}, ""ordine"": null}, {""domanda_alt"": ""Does HCF operate as a non-profit healthcare fund?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999576732777313, ""false"": 3.098641043956865e-05, ""altro"": 1.0826888087292397e-05}, ""ordine"": null}, {""domanda_alt"": ""Does HCF operate as a non-profit organization in the healthcare sector?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999514666118368, ""false"": 3.639803009646027e-05, ""altro"": 1.1788153552495324e-05}, ""ordine"": null}, {""domanda_alt"": ""Does HCF operate as a non-profit healthcare fund?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999576732777313, ""false"": 3.098641043956865e-05, ""altro"": 1.0826888087292397e-05}, ""ordine"": null}]"
6,does scotland have the same bank holidays as england,false,"[{""domanda_alt"": ""does scotland have the same bank holidays as england"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 9.14203778081822e-05, ""false"": 0.9998932670488403, ""altro"": 1.5230015673595517e-05}, ""ordine"": null}, {""domanda_alt"": ""Are Scotland's public holidays identical to England's?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 8.524234135406971e-05, ""false"": 0.9998971392027848, ""altro"": 1.7040932995158073e-05}, ""ordine"": null}, {""domanda_alt"": ""Do Scotland and England observe the same public holidays?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 9.466120185936801e-05, ""false"": 0.9998850703677793, ""altro"": 1.9202963534634265e-05}, ""ordine"": null}, {""domanda_alt"": ""Are bank holidays identical in Scotland and England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00010711645690133417, ""false"": 0.99987538990882, ""altro"": 1.7143216373785522e-05}, ""ordine"": null}, {""domanda_alt"": ""Do Scotland and England observe the same public holidays?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 9.466120185936801e-05, ""false"": 0.9998850703677793, ""altro"": 1.9202963534634265e-05}, ""ordine"": null}, {""domanda_alt"": ""Are Scotland's public holidays identical to England's?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 8.524234135406971e-05, ""false"": 0.9998971392027848, ""altro"": 1.7040932995158073e-05}, ""ordine"": null}, {""domanda_alt"": ""Do Scotland and England observe identical public holidays?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 8.650745848484059e-05, ""false"": 0.9998939107624242, ""altro"": 1.8783526598711532e-05}, ""ordine"": null}, {""domanda_alt"": ""Are Scotland's public holidays identical to England's?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 8.524234135406971e-05, ""false"": 0.9998971392027848, ""altro"": 1.7040932995158073e-05}, ""ordine"": null}, {""domanda_alt"": ""Are bank holidays in Scotland identical to those in England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 8.441185502393142e-05, ""false"": 0.9999015637375364, ""altro"": 1.3901985692797415e-05}, ""ordine"": null}, {""domanda_alt"": ""Are bank holidays identical in Scotland and England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00010711645690133417, ""false"": 0.99987538990882, ""altro"": 1.7143216373785522e-05}, ""ordine"": null}, {""domanda_alt"": ""Are Scottish and English bank holidays identical?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00013414109728641712, ""false"": 0.999848235886616, ""altro"": 1.7316796592900395e-05}, ""ordine"": null}]"
7,can i go to montenegro with a schengen visa,true,"[{""domanda_alt"": ""can i go to montenegro with a schengen visa"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999357154132498, ""false"": 4.6079968857737016e-05, ""altro"": 1.5742792488417418e-05}, ""ordine"": null}, {""domanda_alt"": ""Is a Schengen visa valid for travel to Montenegro?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999140566245549, ""false"": 6.590171853871578e-05, ""altro"": 1.658180029509129e-05}, ""ordine"": null}, {""domanda_alt"": ""Is a Schengen visa valid for travel to Montenegro?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.999910510308644, ""false"": 6.846247210056354e-05, ""altro"": 1.7585269352954117e-05}, ""ordine"": null}, {""domanda_alt"": ""Is a Schengen visa sufficient for traveling to Montenegro?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.999899188647157, ""false"": 7.866069355485806e-05, ""altro"": 1.8929531785434584e-05}, ""ordine"": null}, {""domanda_alt"": ""Is a Schengen visa sufficient for travel to Montenegro?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999007502543769, ""false"": 7.548467041885294e-05, ""altro"": 1.9701917817122688e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to travel to Montenegro using a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999411613329364, ""false"": 4.1188084086769244e-05, ""altro"": 1.5713540836314817e-05}, ""ordine"": null}, {""domanda_alt"": ""Is a Schengen visa valid for travel to Montenegro?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999140566245549, ""false"": 6.590171853871578e-05, ""altro"": 1.658180029509129e-05}, ""ordine"": null}, {""domanda_alt"": ""Is a Schengen visa valid for travel to Montenegro?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.999910510308644, ""false"": 6.846247210056354e-05, ""altro"": 1.7585269352954117e-05}, ""ordine"": null}, {""domanda_alt"": ""Is a Schengen visa sufficient for traveling to Montenegro?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.999899188647157, ""false"": 7.866069355485806e-05, ""altro"": 1.8929531785434584e-05}, ""ordine"": null}, {""domanda_alt"": ""Is a Schengen visa sufficient for travel to Montenegro?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999007502543769, ""false"": 7.548467041885294e-05, ""altro"": 1.9701917817122688e-05}, ""ordine"": null}, {""domanda_alt"": ""Is a Schengen visa valid for travel to Montenegro?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999140566245549, ""false"": 6.590171853871578e-05, ""altro"": 1.658180029509129e-05}, ""ordine"": null}]"
8,is the iphone se before the iphone 6,false,"[{""domanda_alt"": ""is the iphone se before the iphone 6"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9619671466903722, ""false"": 0.037925792290340175, ""altro"": 6.893672892213442e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the iPhone SE come out earlier than the iPhone 6?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.8672488034509652, ""false"": 0.1325706694894254, ""altro"": 0.00011487647380473975}, ""ordine"": null}, {""domanda_alt"": ""Does the iPhone SE come out earlier than the iPhone 6?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.8119808112693574, ""false"": 0.1878260279725401, ""altro"": 0.00012347113260439868}, ""ordine"": null}, {""domanda_alt"": ""Does the iPhone SE precede the iPhone 6 in release order?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9869983427799927, ""false"": 0.012912900461245089, ""altro"": 6.533757412680506e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the iPhone SE come out earlier than the iPhone 6?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.8672488034509652, ""false"": 0.1325706694894254, ""altro"": 0.00011487647380473975}, ""ordine"": null}, {""domanda_alt"": ""Does the iPhone SE come out earlier than the iPhone 6?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.8119808112693574, ""false"": 0.1878260279725401, ""altro"": 0.00012347113260439868}, ""ordine"": null}, {""domanda_alt"": ""Does the iPhone SE come out earlier than the iPhone 6?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.8119808112693574, ""false"": 0.1878260279725401, ""altro"": 0.00012347113260439868}, ""ordine"": null}, {""domanda_alt"": ""Does the iPhone SE come out earlier than the iPhone 6?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.8119808112693574, ""false"": 0.1878260279725401, ""altro"": 0.00012347113260439868}, ""ordine"": null}, {""domanda_alt"": ""Does the iPhone SE predate the iPhone 6?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9805325227904327, ""false"": 0.019376794390757898, ""altro"": 6.343512236160424e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the iPhone SE come out earlier than the iPhone 6?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.8672488034509652, ""false"": 0.1325706694894254, ""altro"": 0.00011487647380473975}, ""ordine"": null}, {""domanda_alt"": ""Does the iPhone SE predate the iPhone 6?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9805325227904327, ""false"": 0.019376794390757898, ""altro"": 6.343512236160424e-05}, ""ordine"": null}]"
9,can a tree have more than one trunk,true,"[{""domanda_alt"": ""can a tree have more than one trunk"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9998402862600678, ""false"": 0.00012154912792342302, ""altro"": 3.636790200084821e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a tree to possess multiple trunks?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999072773009311, ""false"": 5.730453160631696e-05, ""altro"": 3.364357709880389e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a tree to possess multiple trunks?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999135238480059, ""false"": 5.23989186515253e-05, ""altro"": 3.2527530281088567e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a tree to possess multiple trunks?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999135238480059, ""false"": 5.23989186515253e-05, ""altro"": 3.2527530281088567e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a tree to have multiple trunks?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999073355003085, ""false"": 5.80316316033165e-05, ""altro"": 3.293845669678393e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a tree to grow with multiple trunks?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999293433831008, ""false"": 3.782775518473547e-05, ""altro"": 3.135269262550225e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a tree to grow with multiple trunks?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999216521096183, ""false"": 4.226947071095695e-05, ""altro"": 3.43643482304919e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a tree to possess multiple trunks?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999072773009311, ""false"": 5.730453160631696e-05, ""altro"": 3.364357709880389e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a tree to possess multiple trunks?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999135238480059, ""false"": 5.23989186515253e-05, ""altro"": 3.2527530281088567e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a tree to develop multiple trunks?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999056982218691, ""false"": 6.0111876050935775e-05, ""altro"": 3.2434365381951815e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a tree to grow with multiple trunks?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999293433831008, ""false"": 3.782775518473547e-05, ""altro"": 3.135269262550225e-05}, ""ordine"": null}]"
10,does a sim free phone lock to a network,false,"[{""domanda_alt"": ""does a sim free phone lock to a network"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00028115585172411485, ""false"": 0.9997032023456138, ""altro"": 1.5152471092458623e-05}, ""ordine"": null}, {""domanda_alt"": ""Can an unlocked SIM phone be restricted to a specific network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.003935207254586276, ""false"": 0.9960224805525051, ""altro"": 3.5263808551657876e-05}, ""ordine"": null}, {""domanda_alt"": ""Is a SIM-free phone restricted to a particular cellular network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0004972416935005876, ""false"": 0.9994878805868861, ""altro"": 1.4172155017862285e-05}, ""ordine"": null}, {""domanda_alt"": ""Is a SIM-free phone restricted to a specific carrier?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00045201633466627697, ""false"": 0.9995333664340246, ""altro"": 1.393892505299852e-05}, ""ordine"": null}, {""domanda_alt"": ""Is a SIM-free phone restricted to a specific cellular provider?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0005691348777858727, ""false"": 0.9994161863824329, ""altro"": 1.4346437994670597e-05}, ""ordine"": null}, {""domanda_alt"": ""Can an unlocked phone be tied to a specific mobile network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0027326108584388425, ""false"": 0.9972271925384272, ""altro"": 3.399319348982411e-05}, ""ordine"": null}, {""domanda_alt"": ""Can an unlocked phone be tied to a specific cellular provider?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.002763353736498852, ""false"": 0.9971996243923374, ""altro"": 3.1167459617719374e-05}, ""ordine"": null}, {""domanda_alt"": ""Can a SIM-free phone be locked to a specific mobile network?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9690642094999862, ""false"": 0.030802782208088856, ""altro"": 9.433627024384665e-05}, ""ordine"": null}, {""domanda_alt"": ""Is a SIM-free phone restricted to a particular mobile network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00046377248199502255, ""false"": 0.9995222771222695, ""altro"": 1.3567030868798849e-05}, ""ordine"": null}, {""domanda_alt"": ""Is a SIM-free phone tied to a specific cellular provider?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00046552680954243153, ""false"": 0.9995167576567373, ""altro"": 1.7139944065079773e-05}, ""ordine"": null}, {""domanda_alt"": ""Is a SIM-free phone tied to a specific mobile network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0003786153800614458, ""false"": 0.9996068394005335, ""altro"": 1.426831060915083e-05}, ""ordine"": null}]"
