id,domanda,reale,alternative_json
1,is garrison from the ranch a real place,false,"[{""domanda_alt"": ""is garrison from the ranch a real place"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.1690450074979504e-11, ""false"": 1.0000000168185268, ""altro"": 7.682867375385465e-11}, ""ordine"": null}, {""domanda_alt"": ""is \""garrison\"" in the ranch a real location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 9.161634159027142e-12, ""false"": 1.0000000327827383, ""altro"": 2.4843861333744902e-11}, ""ordine"": null}, {""domanda_alt"": ""is garrison on the ranch an actual location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.1982984667523108e-11, ""false"": 1.0000000142353145, ""altro"": 4.3224329402195737e-11}, ""ordine"": null}, {""domanda_alt"": ""is there a real location called garrison on the ranch?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.5408777030944303e-11, ""false"": 1.0000000371467375, ""altro"": 1.1901541599850612e-11}, ""ordine"": null}, {""domanda_alt"": ""Is \""Garrison\"" in \""The Ranch\"" based on a real location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 3.483232216642449e-12, ""false"": 1.000000059430856, ""altro"": 3.501502560459246e-11}, ""ordine"": null}, {""domanda_alt"": ""Is \""The Ranch\"" where Garrison is set a real location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.2617795799893718e-11, ""false"": 1.0000000169890177, ""altro"": 1.0392870591118977e-10}, ""ordine"": null}, {""domanda_alt"": ""Is \""The Ranch\"" where Garrison is set based on a real location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 9.741136317242008e-11, ""false"": 1.0000000123647952, ""altro"": 3.349921661974826e-11}, ""ordine"": null}, {""domanda_alt"": ""is garrison on the ranch an actual location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.238654391863363e-11, ""false"": 1.0000000119818824, ""altro"": 5.0735315551307976e-11}, ""ordine"": null}, {""domanda_alt"": ""is the location called garrison on the ranch based on an actual place?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.639498844932795e-11, ""false"": 1.0000000192374294, ""altro"": 1.0574323953095726e-10}, ""ordine"": null}, {""domanda_alt"": ""is there a real location called garrison on the ranch?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.1846677186777845e-11, ""false"": 1.0000000430765381, ""altro"": 1.361314695187593e-11}, ""ordine"": null}, {""domanda_alt"": ""is the location of garrison on the ranch an actual place?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 5.4350946803186625e-11, ""false"": 1.0000000138334113, ""altro"": 1.7011758996511913e-10}, ""ordine"": null}]"
2,are babies in the womb covered in hair,true,"[{""domanda_alt"": ""are babies in the womb covered in hair"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999989874371099, ""false"": 1.1140468017609857e-06, ""altro"": 1.452176459807152e-12}, ""ordine"": null}, {""domanda_alt"": ""do fetuses have hair while in the uterus"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999999629656916, ""false"": 1.9608249414766067e-10, ""altro"": 9.770970169441274e-14}, ""ordine"": null}, {""domanda_alt"": ""do fetuses have hair while in the womb?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000099774562, ""false"": 3.22909296407845e-11, ""altro"": 2.825155366037985e-14}, ""ordine"": null}, {""domanda_alt"": ""do fetuses have hair while in the womb"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000225415, ""false"": 1.5150346837811667e-10, ""altro"": 2.481395075642043e-14}, ""ordine"": null}, {""domanda_alt"": ""do fetuses have hair while in the uterus"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999999564581353, ""false"": 1.2613086058218017e-10, ""altro"": 5.446717715701482e-14}, ""ordine"": null}, {""domanda_alt"": ""Is it true that fetuses have hair while in the womb?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.00000000481133, ""false"": 1.0643620851637123e-12, ""altro"": 4.1158778453857046e-15}, ""ordine"": null}, {""domanda_alt"": ""do fetuses have hair while in the uterus"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999999629656916, ""false"": 1.9608249414766067e-10, ""altro"": 9.770970169441274e-14}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses have hair while in the womb?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.000000013913789, ""false"": 5.690848178222075e-11, ""altro"": 2.062212073642587e-14}, ""ordine"": null}, {""domanda_alt"": ""do fetuses have hair while in the womb"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.000000021970999, ""false"": 1.0098930763144728e-10, ""altro"": 2.3484255496447616e-14}, ""ordine"": null}, {""domanda_alt"": ""Is it true that fetuses have hair while in the uterus?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000045913777, ""false"": 1.1630882990266852e-12, ""altro"": 4.933018524812631e-15}, ""ordine"": null}, {""domanda_alt"": ""Do infants have hair while in the uterus?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9704260284723929, ""false"": 0.029573964196076594, ""altro"": 8.458960644842975e-13}, ""ordine"": null}]"
3,is an administrative law judge a real judge,true,"[{""domanda_alt"": ""is an administrative law judge a real judge"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999998813490097, ""false"": 1.47347431716418e-07, ""altro"": 7.941555950642754e-15}, ""ordine"": null}, {""domanda_alt"": ""Is an administrative law judge considered a genuine judge?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999995236461918, ""false"": 4.5727473813533755e-07, ""altro"": 8.207130537407905e-15}, ""ordine"": null}, {""domanda_alt"": ""Is an administrative law judge considered a genuine judge?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999994045045035, ""false"": 5.53308800827261e-07, ""altro"": 1.136751159963276e-14}, ""ordine"": null}, {""domanda_alt"": ""Is an administrative law judge considered a genuine judge?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999994045045035, ""false"": 5.53308800827261e-07, ""altro"": 1.136751159963276e-14}, ""ordine"": null}, {""domanda_alt"": ""Is an administrative law judge considered a genuine judge?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999994045045035, ""false"": 5.53308800827261e-07, ""altro"": 1.136751159963276e-14}, ""ordine"": null}, {""domanda_alt"": ""Is an administrative law judge considered a genuine judge?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999994045045035, ""false"": 5.53308800827261e-07, ""altro"": 1.136751159963276e-14}, ""ordine"": null}, {""domanda_alt"": ""Is an administrative law judge considered a genuine judge?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999994045045035, ""false"": 5.53308800827261e-07, ""altro"": 1.136751159963276e-14}, ""ordine"": null}, {""domanda_alt"": ""Is an administrative law judge considered a genuine judge?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999994045045035, ""false"": 5.53308800827261e-07, ""altro"": 1.136751159963276e-14}, ""ordine"": null}, {""domanda_alt"": ""Is an administrative law judge considered a genuine judge?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999994045045035, ""false"": 5.53308800827261e-07, ""altro"": 1.136751159963276e-14}, ""ordine"": null}, {""domanda_alt"": ""Is an administrative law judge considered a genuine judge?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999994045045035, ""false"": 5.53308800827261e-07, ""altro"": 1.136751159963276e-14}, ""ordine"": null}, {""domanda_alt"": ""Is an administrative law judge considered a genuine judge?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999994045045035, ""false"": 5.53308800827261e-07, ""altro"": 1.136751159963276e-14}, ""ordine"": null}]"
4,are there plants on the international space station,true,"[{""domanda_alt"": ""are there plants on the international space station"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000049592175, ""false"": 1.1882677090243157e-08, ""altro"": 6.813144601641724e-14}, ""ordine"": null}, {""domanda_alt"": ""Is there vegetation aboard the International Space Station?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000013375205, ""false"": 6.308095121844773e-10, ""altro"": 4.977058841379178e-14}, ""ordine"": null}, {""domanda_alt"": ""Do the International Space Station have any plants?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999998819479483, ""false"": 1.0060111372219141e-07, ""altro"": 1.54407557080755e-13}, ""ordine"": null}, {""domanda_alt"": ""Do the International Space Station have plants?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000014285997, ""false"": 2.6200942619104205e-09, ""altro"": 5.725064151831677e-14}, ""ordine"": null}, {""domanda_alt"": ""Do the International Space Station have any plants?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999998819479483, ""false"": 1.0060111372219141e-07, ""altro"": 1.54407557080755e-13}, ""ordine"": null}, {""domanda_alt"": ""Do the International Space Station have plants?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000014285997, ""false"": 2.6200942619104205e-09, ""altro"": 5.725064151831677e-14}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station have plants?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000012752164, ""false"": 6.115368328832228e-10, ""altro"": 3.8134373834355295e-14}, ""ordine"": null}, {""domanda_alt"": ""Is there vegetation aboard the International Space Station?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000013375205, ""false"": 6.308095121844773e-10, ""altro"": 4.977058841379178e-14}, ""ordine"": null}, {""domanda_alt"": ""Do the International Space Station have plants?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000014285997, ""false"": 2.6200942619104205e-09, ""altro"": 5.725064151831677e-14}, ""ordine"": null}, {""domanda_alt"": ""Do the International Space Station have any plants?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999998819479483, ""false"": 1.0060111372219141e-07, ""altro"": 1.54407557080755e-13}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station have plants?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000012752164, ""false"": 6.115368328832228e-10, ""altro"": 3.8134373834355295e-14}, ""ordine"": null}]"
5,is hcf a not for profit health fund,true,"[{""domanda_alt"": ""is hcf a not for profit health fund"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000017907944, ""false"": 3.589736182903779e-10, ""altro"": 6.943765258826435e-15}, ""ordine"": null}, {""domanda_alt"": ""Is HCF an nonprofit health fund?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.8717604278662221, ""false"": 0.12823956332337688, ""altro"": 2.276844468209578e-12}, ""ordine"": null}, {""domanda_alt"": ""Is HCF a nonprofit health fund?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999957093079157, ""false"": 4.310359183422042e-06, ""altro"": 2.1424868019207115e-14}, ""ordine"": null}, {""domanda_alt"": ""is hcf considered a non-profit health fund?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999991674113613, ""false"": 8.120487386365572e-07, ""altro"": 4.9977451138951124e-14}, ""ordine"": null}, {""domanda_alt"": ""is hcf considered a non-profit health fund?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.99999916729057, ""false"": 8.185769534402767e-07, ""altro"": 4.724748532470378e-14}, ""ordine"": null}, {""domanda_alt"": ""Is HCF considered a non-profit healthcare fund?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999365812869271, ""false"": 6.339411031121529e-05, ""altro"": 3.0234833047720703e-14}, ""ordine"": null}, {""domanda_alt"": ""is hcf considered a non-profit healthcare organization?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999986905458171, ""false"": 1.3038775176824468e-06, ""altro"": 6.696814640669245e-14}, ""ordine"": null}, {""domanda_alt"": ""Is HCF classified as a nonprofit health fund?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999998813254443, ""false"": 1.1570418828165436e-07, ""altro"": 1.7003541305403735e-14}, ""ordine"": null}, {""domanda_alt"": ""is hcf considered a non-profit health fund?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999991674113613, ""false"": 8.120487386365572e-07, ""altro"": 4.9977451138951124e-14}, ""ordine"": null}, {""domanda_alt"": ""Is HCF an nonprofit health fund?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.8717604278662221, ""false"": 0.12823956332337688, ""altro"": 2.276844468209578e-12}, ""ordine"": null}, {""domanda_alt"": ""Is HCF considered a non-profit healthcare fund?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999955897893844, ""false"": 4.434547011808611e-06, ""altro"": 2.4675324819768044e-14}, ""ordine"": null}]"
6,does scotland have the same bank holidays as england,false,"[{""domanda_alt"": ""does scotland have the same bank holidays as england"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 2.5221972857897366e-12, ""false"": 1.0000000106539588, ""altro"": 1.0784814439150741e-12}, ""ordine"": null}, {""domanda_alt"": ""are the bank holidays in scotland the same as those in england?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 2.7686656138527348e-12, ""false"": 1.0000000140347474, ""altro"": 6.597058440332147e-13}, ""ordine"": null}, {""domanda_alt"": ""are the bank holidays in scotland the same as those in england"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.5041952753076166e-12, ""false"": 1.0000000198838401, ""altro"": 9.777320912564325e-13}, ""ordine"": null}, {""domanda_alt"": ""Are the bank holidays in Scotland the same as those in England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.8832751983879264e-12, ""false"": 1.000000014388695, ""altro"": 7.721365140157859e-13}, ""ordine"": null}, {""domanda_alt"": ""are the bank holidays in scotland the same as those in england"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.618266125885823e-12, ""false"": 1.000000019197102, ""altro"": 1.3114546704489976e-12}, ""ordine"": null}, {""domanda_alt"": ""do the bank holidays in scotland match those in england"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 8.39699145748758e-13, ""false"": 1.0000000200608061, ""altro"": 8.777376169917584e-13}, ""ordine"": null}, {""domanda_alt"": ""are the bank holidays in scotland the same as those in england"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.618266125885823e-12, ""false"": 1.000000019197102, ""altro"": 1.3114546704489976e-12}, ""ordine"": null}, {""domanda_alt"": ""do the bank holidays in scotland match those in england?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.3652350298911778e-12, ""false"": 1.0000000376902958, ""altro"": 9.316755071354298e-13}, ""ordine"": null}, {""domanda_alt"": ""Are the bank holidays in Scotland the same as those in England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.8832751983879264e-12, ""false"": 1.000000014388695, ""altro"": 7.721365140157859e-13}, ""ordine"": null}, {""domanda_alt"": ""Are the bank holidays in Scotland identical to those in England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 4.23828057214764e-13, ""false"": 1.0000000284906354, ""altro"": 1.0078525683246287e-12}, ""ordine"": null}, {""domanda_alt"": ""Are the bank holidays in Scotland identical to those in England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 4.5117638703958416e-13, ""false"": 1.0000000265544153, ""altro"": 9.304889385505161e-13}, ""ordine"": null}]"
7,can i go to montenegro with a schengen visa,true,"[{""domanda_alt"": ""can i go to montenegro with a schengen visa"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.000000001391266, ""false"": 5.5383401420323336e-11, ""altro"": 5.005417688194194e-15}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to visit Montenegro with a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000007808207, ""false"": 2.487266797781945e-11, ""altro"": 3.351364595284338e-15}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to visit Montenegro with a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000008205623, ""false"": 1.8994737840979063e-11, ""altro"": 2.3490508585849788e-15}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to visit Montenegro using a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000006977716, ""false"": 2.7620949418163338e-11, ""altro"": 1.6063560381207837e-15}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to visit Montenegro with a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000008528498, ""false"": 1.7116120688132092e-11, ""altro"": 2.924757815243966e-15}, ""ordine"": null}, {""domanda_alt"": ""is it possible to visit montenegro using a schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.000000003870347, ""false"": 1.917923969081182e-11, ""altro"": 3.2969863478648366e-15}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to visit Montenegro with a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000007808207, ""false"": 2.487266797781945e-11, ""altro"": 3.351364595284338e-15}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to visit Montenegro with a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000008205623, ""false"": 1.8994737840979063e-11, ""altro"": 2.3490508585849788e-15}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to visit Montenegro using a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000006977716, ""false"": 2.7620949418163338e-11, ""altro"": 1.6063560381207837e-15}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to visit Montenegro with a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000008528498, ""false"": 1.7116120688132092e-11, ""altro"": 2.924757815243966e-15}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to visit Montenegro with a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000007816217, ""false"": 1.4505995845151042e-11, ""altro"": 1.911316001220752e-15}, ""ordine"": null}]"
8,is the iphone se before the iphone 6,false,"[{""domanda_alt"": ""is the iphone se before the iphone 6"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 6.5163282367705416e-12, ""false"": 1.000000018467595, ""altro"": 2.2410848157704078e-13}, ""ordine"": null}, {""domanda_alt"": ""is the iphone se released prior to the iphone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 6.325248384913013e-11, ""false"": 1.000000010195259, ""altro"": 1.4044764855951768e-13}, ""ordine"": null}, {""domanda_alt"": ""is the iphone se released prior to the iphone 6"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 4.3200973722721624e-11, ""false"": 1.0000000118932542, ""altro"": 1.8891605049765992e-13}, ""ordine"": null}, {""domanda_alt"": ""is the release date of the iphone se earlier than the iphone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 5.52020623216927e-09, ""false"": 1.0000000079951554, ""altro"": 3.783397396938503e-13}, ""ordine"": null}, {""domanda_alt"": ""is the iphone se released prior to the iphone 6"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 9.498293105520876e-11, ""false"": 1.0000000115999665, ""altro"": 2.2789833797123493e-13}, ""ordine"": null}, {""domanda_alt"": ""is the iphone se released prior to theiphone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.638986915347109e-10, ""false"": 1.0000000082011486, ""altro"": 1.5221999501072143e-13}, ""ordine"": null}, {""domanda_alt"": ""is the iphone se released prior to the iphone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 6.968265355103988e-11, ""false"": 1.0000000115519825, ""altro"": 1.8526845871125692e-13}, ""ordine"": null}, {""domanda_alt"": ""is the iphone se released prior to the iphone 6"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 7.891652539680433e-11, ""false"": 1.0000000111461689, ""altro"": 2.4814284775013484e-13}, ""ordine"": null}, {""domanda_alt"": ""is the iPhone SE released prior to the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 2.2928389118622952e-10, ""false"": 1.0000000110641134, ""altro"": 2.57265192698609e-13}, ""ordine"": null}, {""domanda_alt"": ""is the iphone se released prior to the iphone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 8.5438874852209e-11, ""false"": 1.00000001094232, ""altro"": 1.565018189371942e-13}, ""ordine"": null}, {""domanda_alt"": ""Is the iPhone SE released prior to the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 2.57166127817799e-10, ""false"": 1.0000000109283054, ""altro"": 2.6519031802717605e-13}, ""ordine"": null}]"
9,can a tree have more than one trunk,true,"[{""domanda_alt"": ""can a tree have more than one trunk"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000009872758, ""false"": 1.00245127049129e-09, ""altro"": 2.239541006687396e-15}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to develop multiple trunks?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 2.322620335585354e-06, ""false"": 0.9999977406449814, ""altro"": 2.548003502476279e-13}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to develop multiple trunks?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 3.7835637413380065e-06, ""false"": 0.9999961906515396, ""altro"": 2.936418874120354e-13}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to develop multiple trunks?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 3.7835637413380065e-06, ""false"": 0.9999961906515396, ""altro"": 2.936418874120354e-13}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to develop multiple trunks?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 3.7835637413380065e-06, ""false"": 0.9999961906515396, ""altro"": 2.936418874120354e-13}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to develop multiple trunks?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 3.7835637413380065e-06, ""false"": 0.9999961906515396, ""altro"": 2.936418874120354e-13}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to develop multiple trunks?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 3.7835637413380065e-06, ""false"": 0.9999961906515396, ""altro"": 2.936418874120354e-13}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to develop multiple trunks?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 3.7835637413380065e-06, ""false"": 0.9999961906515396, ""altro"": 2.936418874120354e-13}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to develop multiple trunks?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 3.7835637413380065e-06, ""false"": 0.9999961906515396, ""altro"": 2.936418874120354e-13}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a tree to develop multiple trunks?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 1.0000000010405496, ""false"": 4.27759205186269e-11, ""altro"": 2.0371025764096537e-15}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to develop multiple trunks?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 3.2288948708650798e-06, ""false"": 0.9999967868651419, ""altro"": 2.088280026912212e-13}, ""ordine"": null}]"
10,does a sim free phone lock to a network,false,"[{""domanda_alt"": ""does a sim free phone lock to a network"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 5.5851985492481684e-14, ""false"": 1.0000000046527464, ""altro"": 2.2909353250167967e-13}, ""ordine"": null}, {""domanda_alt"": ""Is a phone that is sold without a SIM card contract locked to a particular network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.1496180149991063e-10, ""false"": 1.0000000228398704, ""altro"": 6.54197107896686e-13}, ""ordine"": null}, {""domanda_alt"": ""Is a phone that is sold without a SIM card contract locked to a specific network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 8.018680507088171e-11, ""false"": 1.0000000322383504, ""altro"": 4.754121528584605e-13}, ""ordine"": null}, {""domanda_alt"": ""Is a phone that is sold without a SIM card contract locked to a specific network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 9.149903519786602e-11, ""false"": 1.000000029429071, ""altro"": 5.950048852160883e-13}, ""ordine"": null}, {""domanda_alt"": ""Is a phone without a SIM card restricted to a particular network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 3.029959469864121e-11, ""false"": 1.0000000233151976, ""altro"": 3.4449723030143453e-13}, ""ordine"": null}, {""domanda_alt"": ""Is a phone that is sold without a SIM card contract-bound to a specific network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.0830144156652925e-11, ""false"": 1.000000037873871, ""altro"": 1.0628094826497284e-12}, ""ordine"": null}, {""domanda_alt"": ""Is a phone that is sold without a SIM card contract-bound to a specific network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.1598323867228787e-11, ""false"": 1.000000043469388, ""altro"": 1.0823544381908843e-12}, ""ordine"": null}, {""domanda_alt"": ""Is a sim-free phone locked to a specific network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 4.5849098060889447e-14, ""false"": 1.0000000363294572, ""altro"": 3.53336332152865e-13}, ""ordine"": null}, {""domanda_alt"": ""Is a phone that is sold without a SIM card contract locked to a specific network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 9.609559460117527e-11, ""false"": 1.0000000283357973, ""altro"": 4.0453518443707607e-13}, ""ordine"": null}, {""domanda_alt"": ""Is a phone that is sold without a SIM card contract-bound to a specific network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 9.618539866510745e-12, ""false"": 1.0000000386940542, ""altro"": 1.2525474600135953e-12}, ""ordine"": null}, {""domanda_alt"": ""Is a phone that is sold without a SIM card contract-bound to a particular network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 4.0958047743243565e-12, ""false"": 1.0000000539370406, ""altro"": 1.105534051591873e-12}, ""ordine"": null}]"
