id,domanda,reale,num_scartate,alternative_json,scartate_json
1,is west virginia and virginia the same state,false,4,"[{""domanda_alt"": ""is west virginia and virginia the same state"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 2.8790359213955975e-06, ""false"": 0.9999954721351298, ""altro"": 1.6243779355815806e-06}, ""convergente"": true}, {""domanda_alt"": ""Are West Virginia and Virginia two distinct entities or a single entity with separate identities?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.30330632296423876, ""false"": 0.6964862899297594, ""altro"": 0.0001877731487456281}, ""convergente"": true}, {""domanda_alt"": ""Do West Virginia and Virginia represent separate and independent entities or a unified whole with distinct aspects?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.4584025466794014, ""false"": 0.5414614960307808, ""altro"": 0.00011324986564087867}, ""convergente"": true}, {""domanda_alt"": ""Are West Virginia and Virginia two autonomous entities or a single entity with diverse characteristics?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.3113829596211229, ""false"": 0.6882354988959949, ""altro"": 0.00035420180799060813}, ""convergente"": true}, {""domanda_alt"": ""Do West Virginia and Virginia constitute separate sovereigns or are they parts of a unified whole with distinct attributes?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.4013775958161899, ""false"": 0.5979065058416513, ""altro"": 0.0006479608223544762}, ""convergente"": true}]","[{""domanda_alt"": ""Are West Virginia and Virginia distinct entities with separate identities?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.5582648321550202, ""false"": 0.4417134067905965, ""altro"": 9.00557352239205e-06}, ""convergente"": true}, {""domanda_alt"": ""Can West Virginia be considered a self-contained entity unto itself while still sharing a common bond with Virginia?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.8542192046374069, ""false"": 0.14575500913433168, ""altro"": 1.3515065895230763e-05}, ""convergente"": true}, {""domanda_alt"": ""Do West Virginia and Virginia constitute separate entities with their own distinct characters, or are they a unified entity manifesting dual identities?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9647459236096202, ""false"": 0.03523930194755466, ""altro"": 1.0954342522960611e-05}, ""convergente"": true}, {""domanda_alt"": ""Do West Virginia and Virginia represent distinct administrative units with unique features or are they interconnected components of a larger whole?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.7605688313802743, ""false"": 0.2393962610554628, ""altro"": 1.5224750824801168e-05}, ""convergente"": true}]"
2,is it illegal to make covers of songs,false,1,"[{""domanda_alt"": ""is it illegal to make covers of songs"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.4551355488080614, ""false"": 0.5448523250932112, ""altro"": 6.976140674272284e-06}, ""convergente"": true}, {""domanda_alt"": ""Can creating derivative works that are substantially similar to original compositions result in legal repercussions?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.2697182805702717, ""false"": 0.7302532396807736, ""altro"": 1.319491049230407e-05}, ""convergente"": true}, {""domanda_alt"": ""Does copyright infringement liability arise from producing adaptations that closely mirror the essence of existing musical creations?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.07193577968962114, ""false"": 0.9280491985927813, ""altro"": 8.029020650644274e-06}, ""convergente"": true}, {""domanda_alt"": ""Does the production of adaptations that closely replicate the fundamental characteristics of established musical compositions give rise to copyright infringement liabilities?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.27081305985401233, ""false"": 0.7291683011982963, ""altro"": 8.676265124168133e-06}, ""convergente"": true}, {""domanda_alt"": ""Does the creation of new works emulating the essential features of pre-existing songs lead to legal obligations for copyright violation?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.25890628004364724, ""false"": 0.7410725865139504, ""altro"": 9.7945678360244e-06}, ""convergente"": true}]","[{""domanda_alt"": ""Does producing works that closely replicate the content of initial creative pieces lead to potential legal consequences?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.7042798003508935, ""false"": 0.29570192449145927, ""altro"": 8.720550793052883e-06}, ""convergente"": true}]"
3,can the supreme court do anything to stop an executive order,true,0,"[{""domanda_alt"": ""can the supreme court do anything to stop an executive order"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.924002604101764, ""false"": 0.07598041163687883, ""altro"": 1.1126599874940406e-05}, ""convergente"": true}, {""domanda_alt"": ""Can the Supreme Court intervene in some way to prevent the implementation of an executive order?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9982339387877364, ""false"": 0.0017655808833238287, ""altro"": 5.989681111216451e-07}, ""convergente"": true}, {""domanda_alt"": ""Can the Supreme Court take action to block the enforcement of a presidential decree?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9875470997425545, ""false"": 0.01245123895955951, ""altro"": 1.7309073529399235e-06}, ""convergente"": true}, {""domanda_alt"": ""Can the Supreme Court intervene to halt the implementation of a presidential directive?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9873962225615639, ""false"": 0.012602338915994899, ""altro"": 1.4579190006174488e-06}, ""convergente"": true}, {""domanda_alt"": ""Is there a judicial remedy available for the Supreme Court to suspend the execution of a presidential decree?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.7283796762374544, ""false"": 0.27158428774972404, ""altro"": 1.1550679535487924e-05}, ""convergente"": true}]",[]
4,could you survive jumping off the golden gate bridge,true,0,"[{""domanda_alt"": ""could you survive jumping off the golden gate bridge"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.14199015276239565, ""false"": 0.8579534331815368, ""altro"": 1.882774773911684e-05}, ""convergente"": true}, {""domanda_alt"": ""Would it be physically possible to withstand the impact of leaping from the Golden Gate Bridge without fatal consequences?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.01818406486474745, ""false"": 0.981805789891106, ""altro"": 7.50305310258401e-06}, ""convergente"": true}, {""domanda_alt"": ""Could someone survive a jump off the Golden Gate Bridge and avoid life-threatening injuries?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.3530460162261983, ""false"": 0.6469220973728746, ""altro"": 1.2686803813457446e-05}, ""convergente"": true}, {""domanda_alt"": ""Can an individual safely land from a leap off the Golden Gate Bridge without sustaining severe harm?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 2.7529223954953402e-05, ""false"": 0.9999697238629988, ""altro"": 2.7117426501668987e-06}, ""convergente"": true}, {""domanda_alt"": ""Is it feasible to successfully touch down on solid ground after jumping off the Golden Gate Bridge without incurring life-threatening injuries?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0016849922832696536, ""false"": 0.9983070720317427, ""altro"": 5.9758548785200815e-06}, ""convergente"": true}]",[]
5,is steel wool the same as wire wool,true,0,"[{""domanda_alt"": ""is steel wool the same as wire wool"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9991319714516118, ""false"": 0.0008612596510762, ""altro"": 6.528102365324724e-06}, ""convergente"": true}, {""domanda_alt"": ""Is there a semantic equivalence between steel wool and wire wool?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9998210199168706, ""false"": 0.00017689967802836, ""altro"": 1.9581888351131636e-06}, ""convergente"": true}, {""domanda_alt"": ""Is steel wool semantically identical to wire wool?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9990580473244836, ""false"": 0.0009367730290616982, ""altro"": 4.893022281460121e-06}, ""convergente"": true}, {""domanda_alt"": ""Are \""wire wool\"" and \""steel wool\"" interchangeable terms?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9560579705259084, ""false"": 0.043931910168925045, ""altro"": 6.767295087072932e-06}, ""convergente"": true}, {""domanda_alt"": ""Can I use the expressions \""wire wool\"" and \""steel wool\"" synonymously?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9955818415796931, ""false"": 0.004408367223325094, ""altro"": 9.643824912247782e-06}, ""convergente"": true}]",[]
6,is there a movie after meet the fockers,true,1,"[{""domanda_alt"": ""is there a movie after meet the fockers"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0012567474370157395, ""false"": 0.9987343880539996, ""altro"": 7.872093746372471e-06}, ""convergente"": true}, {""domanda_alt"": ""Does a film sequel to Meet the Fockers exist?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.03849253357796767, ""false"": 0.9614946920243964, ""altro"": 8.808010876704603e-06}, ""convergente"": true}, {""domanda_alt"": ""Is there a follow-up movie in the series that is a sequel to Meet the Fockers?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.028782253864408254, ""false"": 0.971205595859835, ""altro"": 7.989417322572803e-06}, ""convergente"": true}, {""domanda_alt"": ""Is the next installment of the series a direct continuation of Meet the Fockers?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 9.419684238413103e-05, ""false"": 0.999902456800968, ""altro"": 3.2451937900905122e-06}, ""convergente"": true}, {""domanda_alt"": ""Will the forthcoming release in the franchise be a seamless sequel to Meet the Fockers?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 8.48823883221313e-06, ""false"": 0.9999866119957497, ""altro"": 4.601372918083837e-06}, ""convergente"": true}]","[{""domanda_alt"": ""Is \""Meet the Fockers\"" followed by another film in the series?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9674868094782472, ""false"": 0.032507526888241746, ""altro"": 3.92417205319603e-06}, ""convergente"": true}]"
7,does michigan have the stand-your-ground law,true,1,"[{""domanda_alt"": ""does michigan have the stand-your-ground law"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9995232811772592, ""false"": 0.0004758278074023293, ""altro"": 9.456039957755411e-07}, ""convergente"": true}, {""domanda_alt"": ""Does Michigan enact a \""stand your ground\"" self-defense policy for its citizens?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9995229703876429, ""false"": 0.0004766554880317132, ""altro"": 3.857389980015672e-07}, ""convergente"": true}, {""domanda_alt"": ""Does Michigan have a law allowing individuals to use force in self-defense without first retreating from the situation?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9959990565306308, ""false"": 0.003999242866957347, ""altro"": 1.4941832757389135e-06}, ""convergente"": true}, {""domanda_alt"": ""Is Michigan's legal code permitting self-defensive actions by individuals lacking a requirement for prior retreat from the imminent threat?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9991464119319866, ""false"": 0.0008531545388624675, ""altro"": 5.997092294925312e-07}, ""convergente"": true}, {""domanda_alt"": ""Does Michigan's law allow individuals to take defensive action without mandating they first retreat from an impending danger?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9144063840362011, ""false"": 0.08558149637552238, ""altro"": 6.375740648178533e-06}, ""convergente"": true}]","[{""domanda_alt"": ""Does Michigan's law require an individual to attempt to de-escalate a threat before exercising their right of self-defense?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00034623320873492723, ""false"": 0.9996488677239632, ""altro"": 4.269315404612232e-06}, ""convergente"": true}]"
8,were any bodies found from the edmund fitzgerald,false,0,"[{""domanda_alt"": ""were any bodies found from the edmund fitzgerald"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 7.499380010705614e-07, ""false"": 0.9999964755792952, ""altro"": 2.7526605100360735e-06}, ""convergente"": true}, {""domanda_alt"": ""Were human remains discovered after the sinking of the Edmund Fitzgerald?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 3.6995954354008496e-06, ""false"": 0.999993470487289, ""altro"": 2.590746370430629e-06}, ""convergente"": true}, {""domanda_alt"": ""Were skeletal human remains unearthed subsequent to the maritime disaster involving the SS Edmund Fitzgerald?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.0945881568887244e-05, ""false"": 0.999985850036317, ""altro"": 2.7348166640116195e-06}, ""convergente"": true}, {""domanda_alt"": ""Were human bones discovered after the sinking of the SS Edmund Fitzgerald?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 9.36100045256947e-06, ""false"": 0.9999862688348925, ""altro"": 4.218197154081916e-06}, ""convergente"": true}, {""domanda_alt"": ""Were remains of humans unearthed subsequent to the SS Edmund Fitzgerald's demise?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 4.053536892042717e-05, ""false"": 0.9999567722156019, ""altro"": 2.499225465603227e-06}, ""convergente"": true}]",[]
9,do you have to call a married woman matron of honor,true,0,"[{""domanda_alt"": ""do you have to call a married woman matron of honor"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0941083062222239, ""false"": 0.9058729658855151, ""altro"": 6.704505942893985e-06}, ""convergente"": true}, {""domanda_alt"": ""Is it obligatory to refer to a married female as matron of honor?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.1562685948287812, ""false"": 0.8437164746298664, ""altro"": 6.937064715207261e-06}, ""convergente"": true}, {""domanda_alt"": ""Must one exclusively address a married woman by the title \""matron of honor\""?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.10049430170305411, ""false"": 0.8994930309906459, ""altro"": 6.134331294215039e-06}, ""convergente"": true}, {""domanda_alt"": ""Is it necessary to refer solely to a married woman as \""matron of honor\"" when acknowledging her role in a wedding?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.03367429445318418, ""false"": 0.9663192263677468, ""altro"": 3.937866452595421e-06}, ""convergente"": true}, {""domanda_alt"": ""Must one only use the term \""matron of honor\"" to describe the responsibilities held by a married woman in a wedding ceremony?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.018837506183289793, ""false"": 0.9811577962683015, ""altro"": 2.897726052626836e-06}, ""convergente"": true}]",[]
10,does fitness(as used in biology) and survival have the same meaning,false,1,"[{""domanda_alt"": ""does fitness(as used in biology) and survival have the same meaning"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 8.376071936516592e-05, ""false"": 0.9999152973268939, ""altro"": 1.1778334020578555e-06}, ""convergente"": true}, {""domanda_alt"": ""Is there a semantic equivalence between the concepts of fitness and survival as applied to biological systems?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.30928407860169754, ""false"": 0.6907039283601688, ""altro"": 6.205285139205829e-06}, ""convergente"": true}, {""domanda_alt"": ""Do the notions of adaptability and persistence possess identical connotations when used to describe biological organisms?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.06068673557125056, ""false"": 0.9392936447120188, ""altro"": 9.914794101190224e-06}, ""convergente"": true}, {""domanda_alt"": ""Do the concepts of malleability and tenacity evoke similar implications when utilized to characterize living entities?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00027144001369022546, ""false"": 0.9997228731364909, ""altro"": 4.366378527357331e-06}, ""convergente"": true}, {""domanda_alt"": ""Do the notions of flexibility and stubbornness share equivalent connotations when employed to describe organisms?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0005675545949553299, ""false"": 0.999425866239629, ""altro"": 4.788611303493588e-06}, ""convergente"": true}]","[{""domanda_alt"": ""Is there a synonymical equivalence between the concept of adaptation to one's environment in biological contexts and the notion of persistence or endurance in various organisms?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9655917427615468, ""false"": 0.03440471198701855, ""altro"": 2.415998360020585e-06}, ""convergente"": true}]"
