id,domanda,reale,alternative_json
1,is garrison from the ranch a real place,false,"[{""domanda_alt"": ""is garrison from the ranch a real place"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.546922003041659e-07, ""false"": 0.9999951587388795, ""altro"": 4.894593137627269e-06}, ""ordine"": null}, {""domanda_alt"": ""Does Garrison from the Ranch actually exist as a physical location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 2.037154185087469e-07, ""false"": 0.9999963864930761, ""altro"": 3.400105148704858e-06}, ""ordine"": null}, {""domanda_alt"": ""Is Garrison from the Ranch an authentic geographical location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 4.6309938832190673e-07, ""false"": 0.9999933284672061, ""altro"": 6.295157585260936e-06}, ""ordine"": null}, {""domanda_alt"": ""Is Garrison from the Ranch an authentic geographical location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 5.218515674273067e-07, ""false"": 0.9999939156495559, ""altro"": 5.5305176226347195e-06}, ""ordine"": null}, {""domanda_alt"": ""Is Garrison from the Ranch a genuine geographic location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 4.175610215047277e-07, ""false"": 0.9999918039500105, ""altro"": 7.905377322453769e-06}, ""ordine"": null}, {""domanda_alt"": ""Is Garrison from the Ranch a genuine geographical location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 4.0095262078555125e-07, ""false"": 0.9999943628821503, ""altro"": 5.430774347225357e-06}, ""ordine"": null}, {""domanda_alt"": ""Is Garrison from The Ranch a genuine location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 4.28367527060663e-07, ""false"": 0.9999926917397362, ""altro"": 6.868420658500603e-06}, ""ordine"": null}, {""domanda_alt"": ""Does Garrison from the Ranch actually exist as a distinct location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 2.3738512831455169e-07, ""false"": 0.9999966585648448, ""altro"": 3.2002365190586192e-06}, ""ordine"": null}, {""domanda_alt"": ""Does Garrison from the Ranch refer to an actual location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 3.1866873480856026e-06, ""false"": 0.9999942307305043, ""altro"": 2.3888102563269317e-06}, ""ordine"": null}, {""domanda_alt"": ""Does \""Garrison from the Ranch\"" refer to an actual geographic location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 3.9739202152024415e-07, ""false"": 0.9999959123357808, ""altro"": 3.660330328764486e-06}, ""ordine"": null}, {""domanda_alt"": ""Does Garrison from the Ranch actually exist as a physical location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 2.037154185087469e-07, ""false"": 0.9999963864930761, ""altro"": 3.400105148704858e-06}, ""ordine"": null}]"
2,are babies in the womb covered in hair,true,"[{""domanda_alt"": ""are babies in the womb covered in hair"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9997433078348473, ""false"": 0.0002559662817397406, ""altro"": 7.776988115825514e-07}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses develop a hairy covering during their prenatal development?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9590239234362433, ""false"": 0.04096923470090541, ""altro"": 4.8760410425371536e-06}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses grow a layer of body hair during prenatal development?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9922415474948304, ""false"": 0.007688519801081, ""altro"": 6.844793937602646e-05}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses exhibit a covering of hair during prenatal development?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9998616065849092, ""false"": 0.00013795180015649568, ""altro"": 3.338533162276739e-07}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses possess a covering of body hair during their prenatal development?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9991745049826711, ""false"": 0.0008200211150043835, ""altro"": 5.589392461888102e-06}, ""ordine"": null}, {""domanda_alt"": ""Do newborns emerge from a hairy fetal environment?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.03788071532576949, ""false"": 0.9621088055274655, ""altro"": 5.666293931226912e-06}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses develop a covering of hair during their gestational period?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9989040195718508, ""false"": 0.001094571579468533, ""altro"": 1.4708366106087941e-06}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses at various stages of development have body hair?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999505292830058, ""false"": 4.950334479534149e-05, ""altro"": 1.7767873751945562e-07}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses during gestation exhibit a covering of hair?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9997918267076827, ""false"": 0.00020768649516388307, ""altro"": 4.65938833739066e-07}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses have a covering of hair during gestation?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9996899336339612, ""false"": 0.000309478238085251, ""altro"": 6.747792484442156e-07}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses growing inside a mother's uterus have a covering of hair on their bodies?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9990379687880664, ""false"": 0.0009606650566957445, ""altro"": 1.2684564629392937e-06}, ""ordine"": null}]"
3,is an administrative law judge a real judge,true,"[{""domanda_alt"": ""is an administrative law judge a real judge"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9998004867916643, ""false"": 0.00019942779291460912, ""altro"": 3.0656749625030363e-07}, ""ordine"": null}, {""domanda_alt"": ""Does the role of an administrative law judge carry the same judicial authority as a traditional judge in a court of law?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.36718297905989206, ""false"": 0.6327974249929448, ""altro"": 6.98986055851205e-06}, ""ordine"": null}, {""domanda_alt"": ""Does an administrative law judge possess the same judicial authority as a traditional judge?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9327888038209085, ""false"": 0.06720333985174289, ""altro"": 4.16900503968153e-06}, ""ordine"": null}, {""domanda_alt"": ""Does an administrative law judge possess the authority and jurisdiction typically associated with a traditional judicial role?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999591956569969, ""false"": 4.044014314949525e-05, ""altro"": 2.3797459287483716e-07}, ""ordine"": null}, {""domanda_alt"": ""Can an administrative law judge be considered a true judicial authority?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.999942864930102, ""false"": 5.722344019689201e-05, ""altro"": 1.5008564726616258e-07}, ""ordine"": null}, {""domanda_alt"": ""Is an administrative law judge considered a genuine judicial authority?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9934226206571758, ""false"": 0.006576036143027871, ""altro"": 8.723109339407915e-07}, ""ordine"": null}, {""domanda_alt"": ""Does an administrative law judge possess the same judicial authority as a traditional judge in a court of law?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.5262083084237544, ""false"": 0.47377209298820755, ""altro"": 6.802447049531452e-06}, ""ordine"": null}, {""domanda_alt"": ""Is an administrative law judge considered to be a genuine jurist in the same vein as traditional judges?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9883177326505045, ""false"": 0.011679860137506734, ""altro"": 2.1623956551359105e-06}, ""ordine"": null}, {""domanda_alt"": ""Does an administrative law judge hold the same judicial authority as a traditional judge?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9260522394967088, ""false"": 0.07394020632132814, ""altro"": 4.153838985831349e-06}, ""ordine"": null}, {""domanda_alt"": ""Does an administrative law judge possess the same authority and legal status as a conventional judge?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.43381033566801835, ""false"": 0.566167131987622, ""altro"": 7.74425094726396e-06}, ""ordine"": null}, {""domanda_alt"": ""Does an administrative law judge possess the same judicial authority as a traditional judge?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9327888038209085, ""false"": 0.06720333985174289, ""altro"": 4.16900503968153e-06}, ""ordine"": null}]"
4,are there plants on the international space station,true,"[{""domanda_alt"": ""are there plants on the international space station"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999935299731159, ""false"": 5.898354887595873e-06, ""altro"": 4.412994318981498e-07}, ""ordine"": null}, {""domanda_alt"": ""Is it true that vegetation is present onboard the International Space Station?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.999978039543474, ""false"": 2.187689054843145e-05, ""altro"": 3.9069790521494715e-07}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station harbor vegetation?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999393037134333, ""false"": 6.0211195289158187e-05, ""altro"": 5.73492579451282e-07}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station harbor plant life?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.999935072873962, ""false"": 6.393589033223963e-05, ""altro"": 9.98557740818635e-07}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station harbor any forms of vegetation?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999726525693874, ""false"": 2.6894369902580463e-05, ""altro"": 6.081294816968281e-07}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station harbor any plant species?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999410829507407, ""false"": 5.817064266240951e-05, ""altro"": 7.605576494912577e-07}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station harbor flora?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.999959155319856, ""false"": 4.0112538936581775e-05, ""altro"": 7.302255075430965e-07}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station harbor any types of flora?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999898409807066, ""false"": 9.817765655372358e-06, ""altro"": 2.77640030942393e-07}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station have any plant life onboard?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.999986079757127, ""false"": 1.36177614204546e-05, ""altro"": 4.755943484933774e-07}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station currently harbor any botanical life forms?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.46723091487931007, ""false"": 0.5327258513505655, ""altro"": 1.4775091617483428e-05}, ""ordine"": null}, {""domanda_alt"": ""Is the International Space Station home to any plant species?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999468004960209, ""false"": 5.289467464133553e-05, ""altro"": 4.4705626337097203e-07}, ""ordine"": null}]"
5,is hcf a not for profit health fund,true,"[{""domanda_alt"": ""is hcf a not for profit health fund"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999396106775071, ""false"": 6.002980957319571e-05, ""altro"": 5.295406301750388e-07}, ""ordine"": null}, {""domanda_alt"": ""Is HealthCare Fund Company a non-profit organization focused on healthcare insurance?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.709803540142365, ""false"": 0.2901656387889379, ""altro"": 2.0220350643199978e-05}, ""ordine"": null}, {""domanda_alt"": ""Is Health Care Fund a non-profit organization that operates a health insurance program?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9996680421466918, ""false"": 0.00033051045655304245, ""altro"": 1.4253130378943741e-06}, ""ordine"": null}, {""domanda_alt"": ""Is Healthcare Fund of Canada (HCF) a non-profit organization providing healthcare insurance benefits?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 6.276608373944608e-06, ""false"": 0.9999899330446389, ""altro"": 3.7374701838956875e-06}, ""ordine"": null}, {""domanda_alt"": ""Is Health Care Fund (HCF) a non-profit organization operating as a health insurance provider?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.999810386314591, ""false"": 0.00018861569376774822, ""altro"": 8.698433599863778e-07}, ""ordine"": null}, {""domanda_alt"": ""Is Health Care Fund (HCF) a charitable organization that does not distribute profits to investors?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.011318956365988397, ""false"": 0.9886705861162188, ""altro"": 7.532977139941326e-06}, ""ordine"": null}, {""domanda_alt"": ""Is HCF a non-profit organization that operates a health insurance fund?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999046134332672, ""false"": 9.453428152288542e-05, ""altro"": 7.887537099518584e-07}, ""ordine"": null}, {""domanda_alt"": ""Is HealthCare Fund of Australia a charitable organization that operates without seeking financial gain from its healthcare services?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.03170173749170418, ""false"": 0.9682816880045023, ""altro"": 1.1279695031826561e-05}, ""ordine"": null}, {""domanda_alt"": ""Is Healthcare Fund of Canada (HCF) a non-profit organization that provides health insurance services?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 4.967554582052509e-05, ""false"": 0.9999457616490094, ""altro"": 4.512241011843861e-06}, ""ordine"": null}, {""domanda_alt"": ""Is HealthCare Fund Company a non-profit organization focused on providing healthcare services?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.004886092658186626, ""false"": 0.9951007034770609, ""altro"": 7.972508764653837e-06}, ""ordine"": null}, {""domanda_alt"": ""Is Health Care Fund (HCF) a non-profit organization that operates a health insurance program?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9999224418955474, ""false"": 7.682987477283722e-05, ""altro"": 7.204585907886468e-07}, ""ordine"": null}]"
6,does scotland have the same bank holidays as england,false,"[{""domanda_alt"": ""does scotland have the same bank holidays as england"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.001067693959402212, ""false"": 0.9989292994668176, ""altro"": 2.8668914540640744e-06}, ""ordine"": null}, {""domanda_alt"": ""Are Scotland's national holiday observances identical to those of England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.3648729709278352e-05, ""false"": 0.9999843301736947, ""altro"": 1.7819145824405268e-06}, ""ordine"": null}, {""domanda_alt"": ""Are Scotland's bank holidays identical to those observed in England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 8.002471923746474e-06, ""false"": 0.9999908673034816, ""altro"": 1.2810850555437511e-06}, ""ordine"": null}, {""domanda_alt"": ""Do Scottish bank holidays mirror those of England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 6.287970818296063e-05, ""false"": 0.9999331568883367, ""altro"": 3.6130063298625908e-06}, ""ordine"": null}, {""domanda_alt"": ""Are Scotland's bank holidays identical to England's?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.1592572672128211e-05, ""false"": 0.999986947902299, ""altro"": 1.6097119153635967e-06}, ""ordine"": null}, {""domanda_alt"": ""Are Scotland's bank holiday observances identical to those in England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 8.927433300821678e-06, ""false"": 0.9999897611938547, ""altro"": 1.5598212312584295e-06}, ""ordine"": null}, {""domanda_alt"": ""Are Scotland's public holiday observances identical to those in England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 7.865078527952162e-06, ""false"": 0.9999909041436492, ""altro"": 1.5363313543178043e-06}, ""ordine"": null}, {""domanda_alt"": ""Are Scotland's bank holiday calendars identical to those of England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 1.0994487525806794e-05, ""false"": 0.999987590984978, ""altro"": 1.2285240259584358e-06}, ""ordine"": null}, {""domanda_alt"": ""Do Scottish and English calendars share the same public holiday schedule?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0005219185364515307, ""false"": 0.9994728962002493, ""altro"": 4.751716032883259e-06}, ""ordine"": null}, {""domanda_alt"": ""Do Scotland's national holiday observances align with those of England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0003948199136258265, ""false"": 0.9995985591325587, ""altro"": 4.827801476909087e-06}, ""ordine"": null}, {""domanda_alt"": ""Do Scotland's bank holiday calendars mirror those of England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00015582730292840365, ""false"": 0.9998394348974187, ""altro"": 4.061046294725688e-06}, ""ordine"": null}]"
7,can i go to montenegro with a schengen visa,true,"[{""domanda_alt"": ""can i go to montenegro with a schengen visa"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9824205977643875, ""false"": 0.017572757296635884, ""altro"": 5.513186885916729e-06}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to enter Montenegro with a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.6542794525604022, ""false"": 0.345695998744188, ""altro"": 1.0639837987254207e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to enter Montenegro using a Schengen visa?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.18642097731683954, ""false"": 0.8135606795151493, ""altro"": 8.449072721239054e-06}, ""ordine"": null}, {""domanda_alt"": ""Is it permissible for me to enter Montenegro with a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9796394079462938, ""false"": 0.020353876298630544, ""altro"": 5.228618889882155e-06}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to enter Montenegro using a Schengen visa?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.18642097731683954, ""false"": 0.8135606795151493, ""altro"": 8.449072721239054e-06}, ""ordine"": null}, {""domanda_alt"": ""Does my Schengen visa permit travel to Montenegro?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.6407645985470737, ""false"": 0.35920026896862706, ""altro"": 1.5967740268195872e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to enter Montenegro with a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.6542794525604022, ""false"": 0.345695998744188, ""altro"": 1.0639837987254207e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for me to travel to Montenegro with a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.5232065961760627, ""false"": 0.4767685501940814, ""altro"": 9.492759907446872e-06}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for me to travel to Montenegro using a Schengen visa?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.052495355156351904, ""false"": 0.94749272198812, ""altro"": 6.122695832116166e-06}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to enter Montenegro using a Schengen visa?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.18642097731683954, ""false"": 0.8135606795151493, ""altro"": 8.449072721239054e-06}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to enter Montenegro with a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.6542794525604022, ""false"": 0.345695998744188, ""altro"": 1.0639837987254207e-05}, ""ordine"": null}]"
8,is the iphone se before the iphone 6,false,"[{""domanda_alt"": ""is the iphone se before the iphone 6"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.10549379628889467, ""false"": 0.8944945760121465, ""altro"": 6.303942404018548e-06}, ""ordine"": null}, {""domanda_alt"": ""Was the iPhone SE released prior to the launch of the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.18906555570012837, ""false"": 0.8109241484817976, ""altro"": 5.207280562151179e-06}, ""ordine"": null}, {""domanda_alt"": ""Does the iPhone SE preced the iPhone 6 in terms of release date?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.09241632275870174, ""false"": 0.9075696643327716, ""altro"": 7.540448381948316e-06}, ""ordine"": null}, {""domanda_alt"": ""Was the iPhone SE launched prior to the iPhone 6 release?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.01999842072451557, ""false"": 0.9799954750970981, ""altro"": 4.234609632744934e-06}, ""ordine"": null}, {""domanda_alt"": ""Does the iPhone SE preced the release of the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.016920616111616552, ""false"": 0.9830734833022353, ""altro"": 3.8051083820115242e-06}, ""ordine"": null}, {""domanda_alt"": ""Was the iPhone SE released prior to the launch of the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.18906555570012837, ""false"": 0.8109241484817976, ""altro"": 5.207280562151179e-06}, ""ordine"": null}, {""domanda_alt"": ""Was the iPhone SE released prior to the launch of the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.16539667858700838, ""false"": 0.8345953553873947, ""altro"": 4.2707679307639206e-06}, ""ordine"": null}, {""domanda_alt"": ""Was the iPhone SE released prior to the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.35774835598577714, ""false"": 0.6422431527853684, ""altro"": 4.064010451172257e-06}, ""ordine"": null}, {""domanda_alt"": ""Was the iPhone SE released prior to the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.4195955337407894, ""false"": 0.5803954287509476, ""altro"": 4.131744129326757e-06}, ""ordine"": null}, {""domanda_alt"": ""Was the iPhone SE released prior to the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.4195955337407894, ""false"": 0.5803954287509476, ""altro"": 4.131744129326757e-06}, ""ordine"": null}, {""domanda_alt"": ""Does the iPhone SE preced the iPhone 6 in terms of release date?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.09241632275870174, ""false"": 0.9075696643327716, ""altro"": 7.540448381948316e-06}, ""ordine"": null}]"
9,can a tree have more than one trunk,true,"[{""domanda_alt"": ""can a tree have more than one trunk"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9834126971992183, ""false"": 0.01658405751117947, ""altro"": 1.9491426552556607e-06}, ""ordine"": null}, {""domanda_alt"": ""Can a tree possess multiple main stems or primary structures that support its overall structure?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9829627011863993, ""false"": 0.013435701259772689, ""altro"": 0.0035839192783413396}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to possess multiple primary stems?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.10795850964931292, ""false"": 0.892021668383575, ""altro"": 7.99075683803509e-06}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to possess multiple main stems?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.8780020021891802, ""false"": 0.12197946618685043, ""altro"": 9.000005250268582e-06}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to possess multiple main stems?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.8800874255741432, ""false"": 0.11990068877638677, ""altro"": 5.402721899792258e-06}, ""ordine"": null}, {""domanda_alt"": ""Can a single tree possess multiple main stems?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.7406313740837418, ""false"": 0.2592964756433384, ""altro"": 5.2757560064992074e-05}, ""ordine"": null}, {""domanda_alt"": ""Can a single plant entity exhibit multiple principal stem structures?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.7984257268302172, ""false"": 0.2015570099705466, ""altro"": 7.066224923089684e-06}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a tree to possess multiple main stems?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9860947991113501, ""false"": 0.013893853093787312, ""altro"": 9.319101557829451e-06}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to possess multiple primary stems that serve as its main supports?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.1109623993045927, ""false"": 0.8890029548376861, ""altro"": 1.2308459055539322e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to possess multiple main stems that collectively form its primary structure?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9295194703427623, ""false"": 0.06638024198900351, ""altro"": 0.004069358897689893}, ""ordine"": null}, {""domanda_alt"": ""Can a single tree support multiple primary stems?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.13581502572273343, ""false"": 0.8641558912770011, ""altro"": 1.1869871289748294e-05}, ""ordine"": null}]"
10,does a sim free phone lock to a network,false,"[{""domanda_alt"": ""does a sim free phone lock to a network"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 8.198019095172025e-05, ""false"": 0.9999160942273145, ""altro"": 1.92659308444872e-06}, ""ordine"": null}, {""domanda_alt"": ""Will a SIM-free phone automatically register with a cellular provider?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.006057057567174885, ""false"": 0.9939393529197612, ""altro"": 2.915239343916182e-06}, ""ordine"": null}, {""domanda_alt"": ""Will a SIM-free phone automatically register with a cellular network without a specific carrier agreement?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.6023678494526514, ""false"": 0.3976070648083982, ""altro"": 9.61269050760518e-06}, ""ordine"": null}, {""domanda_alt"": ""Will a SIM-free phone automatically connect or pair with a specific cellular network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.003549338773546702, ""false"": 0.9964472254618133, ""altro"": 2.743522644093456e-06}, ""ordine"": null}, {""domanda_alt"": ""Will a SIM-free phone automatically connect to a cellular network upon activation?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.05531495734875465, ""false"": 0.9446695587399494, ""altro"": 8.090148604308711e-06}, ""ordine"": null}, {""domanda_alt"": ""Will a SIM-free phone automatically connect to a specific network without prior setup?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0016758355213575503, ""false"": 0.9983213622367391, ""altro"": 2.1240543737719364e-06}, ""ordine"": null}, {""domanda_alt"": ""Will a SIM-free phone automatically pair with a specific cellular network when inserted?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00031260005829386085, ""false"": 0.9996862093558421, ""altro"": 1.0814117440539896e-06}, ""ordine"": null}, {""domanda_alt"": ""Does a SIM-free mobile device automatically connect to a specific cellular network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 3.155525863075307e-05, ""false"": 0.9999674501369137, ""altro"": 1.0590344983259096e-06}, ""ordine"": null}, {""domanda_alt"": ""Will a SIM-free phone automatically register with a cellular network once a SIM card is inserted?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.4423546463735781, ""false"": 0.5576008411335533, ""altro"": 1.870995145037279e-05}, ""ordine"": null}, {""domanda_alt"": ""Will a SIM-free phone automatically connect to a specific cellular network upon activation?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0003106250013817169, ""false"": 0.9996879681534118, ""altro"": 1.27268202478432e-06}, ""ordine"": null}, {""domanda_alt"": ""Will a SIM-free phone automatically pair with a particular network provider?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0004963424887603442, ""false"": 0.9995024562708301, ""altro"": 1.3499145611656781e-06}, ""ordine"": null}]"
