id,domanda,reale,alternative_json
1,is garrison from the ranch a real place,false,"[{""domanda_alt"": ""is garrison from the ranch a real place"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00011758462844837433, ""false"": 0.9998695457208003, ""altro"": 1.1883518153960119e-05}, ""ordine"": null}, {""domanda_alt"": ""Does Garrison at the Ranch exist as a legitimate location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00035502556706165314, ""false"": 0.9996297242592093, ""altro"": 1.2574038515871662e-05}, ""ordine"": null}, {""domanda_alt"": ""Does Garrison from The Ranch actually exist as a specific location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0008416881224874079, ""false"": 0.9991518113744332, ""altro"": 4.816703131682147e-06}, ""ordine"": null}, {""domanda_alt"": ""Does the location known as Garrison from The Ranch exist in reality?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00023540991520759665, ""false"": 0.9997499197324423, ""altro"": 1.2838746212106337e-05}, ""ordine"": null}, {""domanda_alt"": ""Does Garrison at the Ranch exist as a genuine location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00024475816750315607, ""false"": 0.9997451336814932, ""altro"": 8.927368016139153e-06}, ""ordine"": null}, {""domanda_alt"": ""Does Garrison on The Ranch actually exist in reality?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0006346343403345784, ""false"": 0.9993587434107526, ""altro"": 6.014624174479426e-06}, ""ordine"": null}, {""domanda_alt"": ""Does Garrison on the Ranch actually exist as a real location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0003031571525688429, ""false"": 0.9996936826724789, ""altro"": 3.1405027826166937e-06}, ""ordine"": null}, {""domanda_alt"": ""Does Garrison at the Ranch actually exist as a geographical location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00022810445418039053, ""false"": 0.9997683562444285, ""altro"": 3.11713056174587e-06}, ""ordine"": null}, {""domanda_alt"": ""Does Garrison at The Ranch actually exist as a location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0005122233479209485, ""false"": 0.999482746582392, ""altro"": 4.3832710949129825e-06}, ""ordine"": null}, {""domanda_alt"": ""Does the location referred to as \""Garrison\"" on the property known as \""The Ranch\"" actually exist in reality?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0008055807246436182, ""false"": 0.999183330587866, ""altro"": 9.799781798867215e-06}, ""ordine"": null}, {""domanda_alt"": ""Does Garrison at the Ranch actually exist as a physical location?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00015583673047476007, ""false"": 0.9998419150227265, ""altro"": 2.424851839864658e-06}, ""ordine"": null}]"
2,are babies in the womb covered in hair,true,"[{""domanda_alt"": ""are babies in the womb covered in hair"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.5207927219906385, ""false"": 0.4788430323370304, ""altro"": 0.0001468160971355339}, ""ordine"": null}, {""domanda_alt"": ""Do unborn infants grow body hair while still developing inside their mother's uterus?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.998195123745361, ""false"": 0.0018012997676435782, ""altro"": 2.7510017759950386e-06}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses within a gestating mother's uterus develop a noticeable amount of body hair?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.7950299658007919, ""false"": 0.2048428376573616, ""altro"": 4.367974217389698e-05}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses exhibit a covering of body hair while still in utero?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9950383448558832, ""false"": 0.004944087800051573, ""altro"": 8.641317277476523e-06}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses develop a covering of hairs while still inside their mother's uterus?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9987473418379574, ""false"": 0.001247515410297151, ""altro"": 3.5006505909524863e-06}, ""ordine"": null}, {""domanda_alt"": ""Do newborns enter this world with a covering of hair that was present while they were still in their mother's uterus?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.8822698847419148, ""false"": 0.11761512236216443, ""altro"": 3.526356353610853e-05}, ""ordine"": null}, {""domanda_alt"": ""Do infants develop a covering of hair while still within their mother's uterus?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9977359054232643, ""false"": 0.0022563980980378055, ""altro"": 4.8961928289990115e-06}, ""ordine"": null}, {""domanda_alt"": ""Do human fetuses develop a covering of fine hairs during their gestational period?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9996231897569459, ""false"": 0.0003735877822573787, ""altro"": 3.001395116596257e-06}, ""ordine"": null}, {""domanda_alt"": ""Do fetuses inside a mother's uterus develop body hair during their gestation period?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9994808824668808, ""false"": 0.0005171437987710654, ""altro"": 1.8418138613836937e-06}, ""ordine"": null}, {""domanda_alt"": ""Do unborn infants grow a covering of hair within their mothers' wombs?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9958921768170267, ""false"": 0.004094004763954127, ""altro"": 8.216554985232498e-06}, ""ordine"": null}, {""domanda_alt"": ""Do infants within their mother's uterus have a covering of body hair?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9864294931579066, ""false"": 0.013534973028030613, ""altro"": 1.6335904437322455e-05}, ""ordine"": null}]"
3,is an administrative law judge a real judge,true,"[{""domanda_alt"": ""is an administrative law judge a real judge"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9878327489942853, ""false"": 0.012133898364267258, ""altro"": 1.3607393340966246e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the role of an administrative law judge confer judicial authority?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9974677580048619, ""false"": 0.0025250907006031252, ""altro"": 4.184546257018223e-06}, ""ordine"": null}, {""domanda_alt"": ""Does the position of an administrative law judge confer judicial authority equivalent to that held by traditional judges?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.8230374396256727, ""false"": 0.1768067737312344, ""altro"": 4.476141237297922e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the position of an administrative law judge carry the same judicial authority as that of a traditional judge?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.37018455107619264, ""false"": 0.6294725027055229, ""altro"": 0.00011499833183515888}, ""ordine"": null}, {""domanda_alt"": ""Do administrative law judges possess the characteristics and authority typically associated with judicial positions?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9844411073937763, ""false"": 0.01552565962498412, ""altro"": 1.161394598369193e-05}, ""ordine"": null}, {""domanda_alt"": ""Does an administrative law judge possess the characteristics and authority typically associated with a judicial position?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9910406720668299, ""false"": 0.008922978760008532, ""altro"": 1.2391747650174217e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the title of \""administrative law judge\"" imply actual judicial authority and power?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.894264459292154, ""false"": 0.10565205140206321, ""altro"": 2.4264927089252024e-05}, ""ordine"": null}, {""domanda_alt"": ""Does an administrative law judge possess the authority and status of a regular judicial officer?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.8632975258649468, ""false"": 0.1365817728038281, ""altro"": 3.171216990982451e-05}, ""ordine"": null}, {""domanda_alt"": ""Does an Administrative Law Judge possess the legal authority and powers characteristic of a traditional judicial figure?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9911847085142537, ""false"": 0.008781620198792651, ""altro"": 1.372936131372203e-05}, ""ordine"": null}, {""domanda_alt"": ""Does an administrative law judge hold the position and status of a typical judicial officer?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.4941353002814624, ""false"": 0.5055575888644794, ""altro"": 7.799189659572862e-05}, ""ordine"": null}, {""domanda_alt"": ""Does an administrative law judge possess the authority and jurisdiction typically associated with traditional judicial roles?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9693930092285833, ""false"": 0.030561774465395125, ""altro"": 1.4106959769199495e-05}, ""ordine"": null}]"
4,are there plants on the international space station,true,"[{""domanda_alt"": ""are there plants on the international space station"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9997517119098923, ""false"": 0.00024416349222960813, ""altro"": 2.601931062037969e-06}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station currently have any botanical specimens?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.6596673353870224, ""false"": 0.3399663705816396, ""altro"": 0.00017155820922130148}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station currently host a collection of botanical specimens or is it lacking in this regard?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.6807736310210935, ""false"": 0.31738353979965117, ""altro"": 0.0012463741882048488}, ""ordine"": null}, {""domanda_alt"": ""Does the international space station currently host any botanical specimens?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.807701282255141, ""false"": 0.192108119303955, ""altro"": 6.41066171543645e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station harbor any botanical specimens?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9981389401363071, ""false"": 0.0018449579390443247, ""altro"": 8.805732197024592e-06}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station currently have a collection of botanical specimens aboard?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.35407718364874285, ""false"": 0.6456342572253784, ""altro"": 0.0001480364007171701}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station have a collection of flora?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9976662335405613, ""false"": 0.0023223978403968714, ""altro"": 5.696747945444626e-06}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station harbor a botanical presence?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9996240734358961, ""false"": 0.00036970973884924564, ""altro"": 3.919121437107432e-06}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station currently harbor any species of flora?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9791663566274447, ""false"": 0.02079713280561904, ""altro"": 1.619116191378673e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station currently have a presence of vegetation onboard?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9171755922346034, ""false"": 0.08272646549132978, ""altro"": 4.423062895193912e-05}, ""ordine"": null}, {""domanda_alt"": ""Does the International Space Station currently harbor any flora?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.7651768948028282, ""false"": 0.23460296998789404, ""altro"": 8.86910816420362e-05}, ""ordine"": null}]"
5,is hcf a not for profit health fund,true,"[{""domanda_alt"": ""is hcf a not for profit health fund"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9986465709598072, ""false"": 0.001351348577874108, ""altro"": 1.8053920795186824e-06}, ""ordine"": null}, {""domanda_alt"": ""Does Health Care Focus operate as a non-profit entity providing health insurance services?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0331812800938844, ""false"": 0.9667217712481491, ""altro"": 3.372779006947689e-05}, ""ordine"": null}, {""domanda_alt"": ""Does HCF operate as a non-profit organization within the healthcare funding sector?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9886930151661606, ""false"": 0.011297756349069106, ""altro"": 6.37002403774726e-06}, ""ordine"": null}, {""domanda_alt"": ""Is HCF a non-profit health insurance provider?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.6499384768191283, ""false"": 0.34993377798046243, ""altro"": 7.717256094078006e-05}, ""ordine"": null}, {""domanda_alt"": ""Is Health Care Focus a non-profit organisation providing health insurance services?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.11642718096051204, ""false"": 0.8834539267409228, ""altro"": 3.4796342419421895e-05}, ""ordine"": null}, {""domanda_alt"": ""Does HCF operate as a charitable health insurance provider?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.003994292373803577, ""false"": 0.9959912458077518, ""altro"": 6.121311276684947e-06}, ""ordine"": null}, {""domanda_alt"": ""Is HCF a health insurance organization that operates on a non-profit basis?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9892401531750173, ""false"": 0.010749752939978437, ""altro"": 6.399772085912917e-06}, ""ordine"": null}, {""domanda_alt"": ""Does Health Care Focus (HCF) operate solely as a non-profit organization providing healthcare services?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.5651320453198275, ""false"": 0.43479419554302917, ""altro"": 2.1897637190581054e-05}, ""ordine"": null}, {""domanda_alt"": ""Is HCF classified as a non-profit organization providing health insurance services?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9829633302295648, ""false"": 0.017020330480345965, ""altro"": 9.727065168396877e-06}, ""ordine"": null}, {""domanda_alt"": ""Does Health Care Focus (HCF) operate as a non-profit organization providing health insurance services?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9906892961756326, ""false"": 0.009299737342665456, ""altro"": 6.6976091349108225e-06}, ""ordine"": null}, {""domanda_alt"": ""Does HCF operate as a non-profit organization that provides healthcare services?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.6731582081012983, ""false"": 0.3267165043648366, ""altro"": 6.0628695441854104e-05}, ""ordine"": null}]"
6,does scotland have the same bank holidays as england,false,"[{""domanda_alt"": ""does scotland have the same bank holidays as england"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00041527305542333917, ""false"": 0.999582190888194, ""altro"": 1.6286523541819504e-06}, ""ordine"": null}, {""domanda_alt"": ""Are Scotland's national observance days identical to those in England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0004128280006457401, ""false"": 0.9995797018535252, ""altro"": 3.5919158639285517e-06}, ""ordine"": null}, {""domanda_alt"": ""Do Scotland's public holiday calendars align with those of England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0005857003229975565, ""false"": 0.9993994593927368, ""altro"": 7.668449063885058e-06}, ""ordine"": null}, {""domanda_alt"": ""Are Scotland's public holiday dates identical to those observed in England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0001473943161894068, ""false"": 0.9998509949157727, ""altro"": 1.4501744537193286e-06}, ""ordine"": null}, {""domanda_alt"": ""Do Scotland's public holidays align with those observed in England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0011115460625409543, ""false"": 0.9988661059124833, ""altro"": 1.2697132193242852e-05}, ""ordine"": null}, {""domanda_alt"": ""Are Scotland's bank holiday dates identical to those observed in England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00023004592434662982, ""false"": 0.9997682637889332, ""altro"": 1.704739833296701e-06}, ""ordine"": null}, {""domanda_alt"": ""Are Scotland's bank holiday schedules identical to those observed in England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 8.534523960070882e-05, ""false"": 0.9999139722078134, ""altro"": 8.140917978547753e-07}, ""ordine"": null}, {""domanda_alt"": ""Are Scotland's national public holiday schedules identical to those observed in England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00013753684286535006, ""false"": 0.9998614393791745, ""altro"": 9.499452596704214e-07}, ""ordine"": null}, {""domanda_alt"": ""Are Scotland's bank holiday dates identical to those observed in England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00023004592434662982, ""false"": 0.9997682637889332, ""altro"": 1.704739833296701e-06}, ""ordine"": null}, {""domanda_alt"": ""Are Scotland's public holidays identical to those observed in England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 7.019959779398082e-05, ""false"": 0.999929152255818, ""altro"": 6.976302083701554e-07}, ""ordine"": null}, {""domanda_alt"": ""Are Scotland's national observance days identical to those of England?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.00044003898528537647, ""false"": 0.99955399616469, ""altro"": 2.980483453734924e-06}, ""ordine"": null}]"
7,can i go to montenegro with a schengen visa,true,"[{""domanda_alt"": ""can i go to montenegro with a schengen visa"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.6374962761661517, ""false"": 0.36235747451945266, ""altro"": 5.7878705312349836e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for me to enter Montenegro using a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.7918570772759488, ""false"": 0.20806276602935717, ""altro"": 3.1860363286269465e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to enter Montenegro using a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.7467624781364978, ""false"": 0.25313810649616525, ""altro"": 4.0019576407770544e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible to travel to Montenegro using a Schengen visa?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.494065556728296, ""false"": 0.5057909280372709, ""altro"": 5.384211809692421e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for me to enter Montenegro using a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.7918570772759488, ""false"": 0.20806276602935717, ""altro"": 3.1860363286269465e-05}, ""ordine"": null}, {""domanda_alt"": ""Can I travel to Montenegro using a Schengen Area visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.6420036827944527, ""false"": 0.3578885908700433, ""altro"": 3.782268991185315e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for me to enter Montenegro with a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.7663078950737309, ""false"": 0.2335664281161058, ""altro"": 4.97548632978628e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for me to enter Montenegro with a visa that was issued for travel within the Schengen area?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9875274269400015, ""false"": 0.012465508311894802, ""altro"": 4.375020735137127e-06}, ""ordine"": null}, {""domanda_alt"": ""Is it permissible to visit Montenegro using a Schengen Visa?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.3245959343190654, ""false"": 0.6752506240668397, ""altro"": 5.7974645507496824e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for me to enter Montenegro using a visa that is valid in the Schengen area?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9940122276073832, ""false"": 0.005981789401246633, ""altro"": 4.103930837926065e-06}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for me to enter Montenegro using a Schengen visa?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.7918570772759488, ""false"": 0.20806276602935717, ""altro"": 3.1860363286269465e-05}, ""ordine"": null}]"
8,is the iphone se before the iphone 6,false,"[{""domanda_alt"": ""is the iphone se before the iphone 6"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.17977532303958982, ""false"": 0.8201479077433304, ""altro"": 2.5127931370412128e-05}, ""ordine"": null}, {""domanda_alt"": ""Was the iPhone SE released prior to the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.17319465935804135, ""false"": 0.8267378653031674, ""altro"": 2.6393376446077174e-05}, ""ordine"": null}, {""domanda_alt"": ""Was the iPhone SE released prior to the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.17043795452251903, ""false"": 0.8294957009880557, ""altro"": 2.5529529169455808e-05}, ""ordine"": null}, {""domanda_alt"": ""Was the iPhone SE released prior to the release of the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.05291295981663492, ""false"": 0.947048660245304, ""altro"": 1.615886877940298e-05}, ""ordine"": null}, {""domanda_alt"": ""Was the iPhone SE released prior to the introduction of the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.09638391361639716, ""false"": 0.9035444997095194, ""altro"": 2.966355224658967e-05}, ""ordine"": null}, {""domanda_alt"": ""Was the iPhone SE released prior to the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.17319465935804135, ""false"": 0.8267378653031674, ""altro"": 2.6393376446077174e-05}, ""ordine"": null}, {""domanda_alt"": ""Was the iPhone SE released prior to the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.17043795452251903, ""false"": 0.8294957009880557, ""altro"": 2.5529529169455808e-05}, ""ordine"": null}, {""domanda_alt"": ""Was the iPhone SE released prior to the introduction of the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.09638391361639716, ""false"": 0.9035444997095194, ""altro"": 2.966355224658967e-05}, ""ordine"": null}, {""domanda_alt"": ""Was the iPhone SE released prior to the launch of the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.03968632735837631, ""false"": 0.9602680096385915, ""altro"": 2.0760693928653462e-05}, ""ordine"": null}, {""domanda_alt"": ""Was the iPhone SE released prior to the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.17319465935804135, ""false"": 0.8267378653031674, ""altro"": 2.6393376446077174e-05}, ""ordine"": null}, {""domanda_alt"": ""Was the iPhone SE released prior to the launch of the iPhone 6?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.03968632735837631, ""false"": 0.9602680096385915, ""altro"": 2.0760693928653462e-05}, ""ordine"": null}]"
9,can a tree have more than one trunk,true,"[{""domanda_alt"": ""can a tree have more than one trunk"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.997706533918152, ""false"": 0.001847664555421511, ""altro"": 0.00044183044674349966}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to develop multiple main stems that grow from a common root system?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9136117491087018, ""false"": 0.06764708326885054, ""altro"": 0.01856045157230353}, ""ordine"": null}, {""domanda_alt"": ""Can a single tree support multiple stems that grow from a common root system?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.969432453510382, ""false"": 0.02594569727871327, ""altro"": 0.004570228450134424}, ""ordine"": null}, {""domanda_alt"": ""Can a single tree develop multiple stems that support its growth?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9827248604987886, ""false"": 0.01593092760327038, ""altro"": 0.0013217362439995127}, ""ordine"": null}, {""domanda_alt"": ""Can a single tree develop multiple main stems from its root system?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.8390478087543224, ""false"": 0.1495988345474926, ""altro"": 0.011174039941375826}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to develop multiple trunks?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9886458699205938, ""false"": 0.011260546044106853, ""altro"": 8.052061435717704e-05}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to grow multiple main vertical supports from its base?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.2887921503730414, ""false"": 0.6787661589991796, ""altro"": 0.032108092529858766}, ""ordine"": null}, {""domanda_alt"": ""Can a single arboreal organism possess multiple main stems of significant size and structural integrity?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.9750759430241327, ""false"": 0.021126657393917392, ""altro"": 0.003755156989782489}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to develop multiple primary stems?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.3799836900756882, ""false"": 0.6155354132936179, ""altro"": 0.004249518010141451}, ""ordine"": null}, {""domanda_alt"": ""Does it possible for a single tree to possess multiple vertical stems supporting its canopy?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.7385387565220753, ""false"": 0.24253844076765288, ""altro"": 0.018667231314620822}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a single tree to develop multiple main stems or trunks?"", ""risposta_pulita"": ""true"", ""probabilita"": {""true"": 0.974904936033245, ""false"": 0.022070392658794697, ""altro"": 0.0029755360418779685}, ""ordine"": null}]"
10,does a sim free phone lock to a network,false,"[{""domanda_alt"": ""does a sim free phone lock to a network"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0007486950197318672, ""false"": 0.9992458203695384, ""altro"": 3.696912294278438e-06}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for an unlocked mobile device, purchased without a service contract, to remain associated with a specific cellular network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.04845175119024273, ""false"": 0.951483295603106, ""altro"": 2.4878340021598654e-05}, ""ordine"": null}, {""domanda_alt"": ""Will a SIM-free mobile device automatically sync with its first inserted carrier's network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.006104613238141633, ""false"": 0.9938612631554901, ""altro"": 1.5742777406716078e-05}, ""ordine"": null}, {""domanda_alt"": ""Will a SIM-free smartphone automatically pair with a specific cellular network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.004189965422810585, ""false"": 0.9957982167739722, ""altro"": 6.23720193589211e-06}, ""ordine"": null}, {""domanda_alt"": ""Will a SIM-free mobile device bind itself to a specific cellular network provider?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0010334680565155187, ""false"": 0.9989591081767427, ""altro"": 4.4623138075797486e-06}, ""ordine"": null}, {""domanda_alt"": ""Does a SIM-free mobile device become tied to a specific cellular network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0010599110660264297, ""false"": 0.9989344767766327, ""altro"": 3.78211061821358e-06}, ""ordine"": null}, {""domanda_alt"": ""Is it possible for a SIM-free phone to be locked to a specific network?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.008432119090925214, ""false"": 0.991548701312085, ""altro"": 7.785224456917197e-06}, ""ordine"": null}, {""domanda_alt"": ""Can a SIM-free mobile device be locked to a particular wireless carrier?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.001180010953504751, ""false"": 0.998814953751144, ""altro"": 3.5760823193899137e-06}, ""ordine"": null}, {""domanda_alt"": ""Does a SIM-free mobile device become restricted to a particular wireless carrier?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.001734318841764871, ""false"": 0.9982575822155746, ""altro"": 5.077315222125707e-06}, ""ordine"": null}, {""domanda_alt"": ""Will a SIM-free phone automatically connect to a specific cellular network upon inserting a new SIM card?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.0032231410035722125, ""false"": 0.9967562261285108, ""altro"": 1.0140234688701467e-05}, ""ordine"": null}, {""domanda_alt"": ""Will a SIM-free smartphone be restricted to use with a specific network provider?"", ""risposta_pulita"": ""false"", ""probabilita"": {""true"": 0.003586347360220845, ""false"": 0.9964078477995384, ""altro"": 3.655691176887501e-06}, ""ordine"": null}]"
