id,domanda,reale,num_scartate,alternative_json,scartate_json
1,What is someone doing if he or she is sitting quietly and his or her eyes are moving?,A,2,"[{""domanda_alt"": ""What is someone doing if he or she is sitting quietly and his or her eyes are moving?"", ""risposta_pulita"": ""A"", ""probabilita"": {""A"": 0.7280859414374763, ""B"": 0.27124718551689125, ""C"": 0.00046665472468103024, ""D"": 1.3049604398416614e-05, ""E"": 0.00018689282334375873, ""altro"": 2.9546123857168976e-07}, ""convergente"": true}, {""domanda_alt"": ""What is someone doing if he or she is sitting quietly and his or her eyes are moving?"", ""risposta_pulita"": ""A"", ""probabilita"": {""A"": 0.9958621989766601, ""B"": 0.004082334404754216, ""C"": 3.612156403855491e-05, ""D"": 5.032025566662942e-06, ""E"": 1.4319439803134156e-05, ""altro"": 6.862299744481968e-08}, ""convergente"": true}, {""domanda_alt"": ""What is someone doing if he or she is sitting quietly and his or her eyes are moving?"", ""risposta_pulita"": ""A"", ""probabilita"": {""A"": 0.9079214551061022, ""B"": 0.09183500410327854, ""C"": 0.00024045920014320116, ""D"": 1.3403584616662978e-06, ""E"": 1.8797102241798524e-06, ""altro"": 8.76336317558416e-08}, ""convergente"": true}, {""domanda_alt"": ""What is someone doing if he or she is sitting quietly and his or her eyes are moving?"", ""risposta_pulita"": ""A"", ""probabilita"": {""A"": 0.9179840821108888, ""B"": 0.08155004644615875, ""C"": 0.00010432562448656511, ""D"": 0.00034491179118492995, ""E"": 1.6773850666979755e-05, ""altro"": 1.4073846748042168e-07}, ""convergente"": true}, {""domanda_alt"": ""What is someone doing if he or she is sitting quietly and his or her eyes are moving?"", ""risposta_pulita"": ""A"", ""probabilita"": {""A"": 0.7572417517654749, ""B"": 0.24209089050712446, ""C"": 0.00045829899557342247, ""D"": 1.3379045664932392e-05, ""E"": 0.00019540359499160823, ""altro"": 3.0891948379549975e-07}, ""convergente"": true}]","[{""domanda_alt"": ""What is someone doing if he or she is sitting quietly and his or her eyes are moving?"", ""risposta_pulita"": ""B"", ""probabilita"": {""A"": 0.19349758001293735, ""B"": 0.801869086379746, ""C"": 0.0018060989830323596, ""D"": 0.00012273609330040318, ""E"": 0.0027037308757296196, ""altro"": 6.741098764828933e-07}, ""convergente"": true}, {""domanda_alt"": ""What is someone doing if he or she is sitting quietly and his or her eyes are moving?"", ""risposta_pulita"": ""B"", ""probabilita"": {""A"": 0.2993923026207894, ""B"": 0.6983687582760407, ""C"": 0.0021365970668631115, ""D"": 2.545800628450495e-06, ""E"": 9.973807040855491e-05, ""altro"": 2.529329185811718e-07}, ""convergente"": true}]"
2,Who might wear dark glasses indoors?,A,0,"[{""domanda_alt"": ""Who might wear dark glasses indoors?"", ""risposta_pulita"": ""A"", ""probabilita"": {""A"": 0.9691414159330918, ""B"": 0.00011267119084012747, ""C"": 5.3746547947660664e-05, ""D"": 0.030553963741108008, ""E"": 0.0001383478590854959, ""altro"": 1.5013471225599768e-07}, ""convergente"": true}, {""domanda_alt"": ""Who might wear dark glasses indoors?"", ""risposta_pulita"": ""A"", ""probabilita"": {""A"": 0.9999665317501208, ""B"": 2.794798103074215e-05, ""C"": 3.0922895777145606e-06, ""D"": 2.389682030234102e-06, ""E"": 1.2792283969940513e-07, ""altro"": 1.3381836239695421e-08}, ""convergente"": true}, {""domanda_alt"": ""Who might wear dark glasses indoors?"", ""risposta_pulita"": ""A"", ""probabilita"": {""A"": 0.9999278211240495, ""B"": 2.723272365299898e-05, ""C"": 3.0369464654885335e-05, ""D"": 1.4277930968535827e-05, ""E"": 2.712585311219979e-07, ""altro"": 2.0058520539377244e-08}, ""convergente"": true}, {""domanda_alt"": ""Who might wear dark glasses indoors?"", ""risposta_pulita"": ""A"", ""probabilita"": {""A"": 0.9822283423178583, ""B"": 8.250750746186614e-05, ""C"": 4.301466803952301e-05, ""D"": 0.01764095976687767, ""E"": 5.093794100469227e-06, ""altro"": 6.973007734191731e-08}, ""convergente"": true}, {""domanda_alt"": ""Who might wear dark glasses indoors?"", ""risposta_pulita"": ""A"", ""probabilita"": {""A"": 0.999995035879529, ""B"": 4.087338164549791e-06, ""C"": 3.0070601040887464e-07, ""D"": 5.238382608067515e-07, ""E"": 1.6307929631271124e-07, ""altro"": 1.0105280779883927e-08}, ""convergente"": true}]",[]
3,If you're reading a newspaper from another country what are you doing?,A,0,"[{""domanda_alt"": ""If you're reading a newspaper from another country what are you doing?"", ""risposta_pulita"": ""A"", ""probabilita"": {""A"": 0.9999944453888613, ""B"": 4.494164461013657e-06, ""C"": 3.699181000029587e-07, ""D"": 2.1764206064431336e-07, ""E"": 4.68311146349526e-07, ""altro"": 1.1586896293950022e-08}, ""convergente"": true}, {""domanda_alt"": ""If you're reading a newspaper from another country what are you doing?"", ""risposta_pulita"": ""A"", ""probabilita"": {""A"": 0.9999966838830204, ""B"": 1.8536820469172486e-06, ""C"": 1.0264729208677804e-06, ""D"": 3.98675168378659e-07, ""E"": 6.3805574041999654e-09, ""altro"": 9.46071970176733e-09}, ""convergente"": true}, {""domanda_alt"": ""If you're reading a newspaper from another country what are you doing?"", ""risposta_pulita"": ""A"", ""probabilita"": {""A"": 0.9999936029830164, ""B"": 5.250979595650806e-06, ""C"": 4.765348127890528e-08, ""D"": 1.2376998987219925e-06, ""E"": 1.5783178176161128e-08, ""altro"": 1.0311199255501987e-08}, ""convergente"": true}, {""domanda_alt"": ""If you're reading a newspaper from another country what are you doing?"", ""risposta_pulita"": ""A"", ""probabilita"": {""A"": 0.9999987036987488, ""B"": 5.198985457450665e-07, ""C"": 7.294974826784259e-07, ""D"": 9.812272812630196e-08, ""E"": 2.3676990970855103e-09, ""altro"": 8.277746279723151e-09}, ""convergente"": true}, {""domanda_alt"": ""If you're reading a newspaper from another country what are you doing?"", ""risposta_pulita"": ""A"", ""probabilita"": {""A"": 0.9999137879866112, ""B"": 8.423365224939457e-05, ""C"": 4.870185580124674e-07, ""D"": 4.3207242051095856e-07, ""E"": 9.192744757766667e-07, ""altro"": 1.83137604944869e-08}, ""convergente"": true}]",[]
4,During a shark filled tornado where should you not be?,E,0,"[{""domanda_alt"": ""During a shark filled tornado where should you not be?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.10601797906156878, ""B"": 0.005966584649818273, ""C"": 0.004193169122282061, ""D"": 0.0009812423792199636, ""E"": 0.8828351314898926, ""altro"": 6.219171281726497e-06}, ""convergente"": true}, {""domanda_alt"": ""During a shark filled tornado where should you not be?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.00221112676684919, ""B"": 0.0013709677163373448, ""C"": 0.0003498050176356394, ""D"": 0.0012494260519966402, ""E"": 0.9948171233737332, ""altro"": 1.7419678575021296e-06}, ""convergente"": true}, {""domanda_alt"": ""During a shark filled tornado where should you not be?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.15130398342560145, ""B"": 0.0014278204214157708, ""C"": 0.0003980477901271876, ""D"": 9.635899135700967e-05, ""E"": 0.846770859873515, ""altro"": 2.738077002262732e-06}, ""convergente"": true}, {""domanda_alt"": ""During a shark filled tornado where should you not be?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.009890006384234717, ""B"": 0.007331595256485899, ""C"": 0.0008630688926557213, ""D"": 0.00018855993814403867, ""E"": 0.9817227370028385, ""altro"": 4.212657209306881e-06}, ""convergente"": true}, {""domanda_alt"": ""During a shark filled tornado where should you not be?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.006097787997483812, ""B"": 0.0013723863866385284, ""C"": 0.004473686183783268, ""D"": 0.0014684152936126874, ""E"": 0.9865845417960833, ""altro"": 3.6944895794123576e-06}, ""convergente"": true}]",[]
5,What do people typically do while playing guitar?,C,1,"[{""domanda_alt"": ""What do people typically do while playing guitar?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 6.658500889562718e-05, ""B"": 2.5608797440880395e-05, ""C"": 0.00012311592265847694, ""D"": 9.316166740013371e-06, ""E"": 0.999775130141039, ""altro"": 2.9183932181710523e-07}, ""convergente"": true}, {""domanda_alt"": ""What do people typically do while playing guitar?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.015861109082976374, ""B"": 0.0035544752882603753, ""C"": 0.008761491835501886, ""D"": 0.0013617505449927418, ""E"": 0.9704593663287495, ""altro"": 2.0930928586021016e-06}, ""convergente"": true}, {""domanda_alt"": ""What do people typically do while playing guitar?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.0008563597874108814, ""B"": 0.00040590922457654007, ""C"": 0.009590772626278518, ""D"": 4.362967641769207e-05, ""E"": 0.9891027812381364, ""altro"": 4.723453436017097e-07}, ""convergente"": true}, {""domanda_alt"": ""What do people typically do while playing guitar?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.004865787459201524, ""B"": 3.967783092286024e-05, ""C"": 0.014937853571444035, ""D"": 4.104977620075715e-05, ""E"": 0.9801149228908468, ""altro"": 1.0709024477500073e-06}, ""convergente"": true}, {""domanda_alt"": ""What do people typically do while playing guitar?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.021537734286087032, ""B"": 2.8919195418591342e-05, ""C"": 0.0009337301055202974, ""D"": 8.664852175593673e-06, ""E"": 0.977490643084739, ""altro"": 6.098566219523316e-07}, ""convergente"": true}]","[{""domanda_alt"": ""What do people typically do while playing guitar?"", ""risposta_pulita"": ""C"", ""probabilita"": {""A"": 0.07441201520212094, ""B"": 0.0028937212287520335, ""C"": 0.9051819653696043, ""D"": 0.00021051717083902106, ""E"": 0.017301454252641353, ""altro"": 5.196438489701287e-07}, ""convergente"": true}]"
6,You can find a monkey in what West African region on the Gulf of Guinea,E,0,"[{""domanda_alt"": ""You can find a monkey in what West African region on the Gulf of Guinea"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 3.0484894662012555e-07, ""B"": 1.5426849691587448e-07, ""C"": 1.0072629821589199e-07, ""D"": 1.4133702245879745e-07, ""E"": 0.9999992952447992, ""altro"": 3.0565839361891547e-08}, ""convergente"": true}, {""domanda_alt"": ""You can find a monkey in what West African region on the Gulf of Guinea"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.0002345417898478105, ""B"": 4.300129695132285e-05, ""C"": 2.1884204873632805e-06, ""D"": 3.6020787699603043e-06, ""E"": 0.9997166507650456, ""altro"": 1.0396465217667277e-07}, ""convergente"": true}, {""domanda_alt"": ""You can find a monkey in what West African region on the Gulf of Guinea"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.00035841900537333476, ""B"": 0.006221686308719639, ""C"": 4.5018451884896664e-05, ""D"": 0.00011544556638749583, ""E"": 0.9932591268309502, ""altro"": 4.6301852634774204e-07}, ""convergente"": true}, {""domanda_alt"": ""You can find a monkey in what West African region on the Gulf of Guinea"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 3.1512893854378167e-06, ""B"": 0.00015071321011832844, ""C"": 2.442663647232705e-06, ""D"": 5.384974803780487e-06, ""E"": 0.9998385219803527, ""altro"": 7.265756776664198e-08}, ""convergente"": true}, {""domanda_alt"": ""You can find a monkey in what West African region on the Gulf of Guinea"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.003927234786558084, ""B"": 0.3716450839676003, ""C"": 0.00023478326098827512, ""D"": 3.304184822056042e-05, ""E"": 0.624159447287731, ""altro"": 6.212702407902878e-07}, ""convergente"": true}]",[]
7,What do people do for food?,D,0,"[{""domanda_alt"": ""What do people do for food?"", ""risposta_pulita"": ""D"", ""probabilita"": {""A"": 0.0006098017511323693, ""B"": 0.00014397086836009685, ""C"": 2.2938901910400076e-05, ""D"": 0.9991934372882216, ""E"": 2.9623267100672554e-05, ""altro"": 8.189579558380999e-08}, ""convergente"": true}, {""domanda_alt"": ""What do people do for food?"", ""risposta_pulita"": ""D"", ""probabilita"": {""A"": 0.005576128933865625, ""B"": 8.792742544884789e-05, ""C"": 3.0608297499182884e-05, ""D"": 0.9942733773142477, ""E"": 3.192572442094315e-05, ""altro"": 1.194910656255451e-07}, ""convergente"": true}, {""domanda_alt"": ""What do people do for food?"", ""risposta_pulita"": ""D"", ""probabilita"": {""A"": 0.0010418240702728511, ""B"": 5.746466040858345e-05, ""C"": 7.440235509521075e-06, ""D"": 0.9988288562016182, ""E"": 6.43821674420813e-05, ""altro"": 8.38839762071928e-08}, ""convergente"": true}, {""domanda_alt"": ""What do people do for food?"", ""risposta_pulita"": ""D"", ""probabilita"": {""A"": 0.003586067224088579, ""B"": 0.00011885511999161425, ""C"": 4.923772530079319e-06, ""D"": 0.9962725840743288, ""E"": 1.7537618804317894e-05, ""altro"": 8.306945480686451e-08}, ""convergente"": true}, {""domanda_alt"": ""What do people do for food?"", ""risposta_pulita"": ""D"", ""probabilita"": {""A"": 0.016959794722474712, ""B"": 0.0001327688563784486, ""C"": 0.00011615788363604482, ""D"": 0.9827239866842816, ""E"": 6.721087102131682e-05, ""altro"": 1.6370969385988183e-07}, ""convergente"": true}]",[]
8,What kind of feelings does buying presents for others create?,E,0,"[{""domanda_alt"": ""What kind of feelings does buying presents for others create?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.0019544600078163143, ""B"": 0.0037795033376648644, ""C"": 0.0024239253666622287, ""D"": 0.001016632412463318, ""E"": 0.9908229562509543, ""altro"": 2.7937569576081064e-06}, ""convergente"": true}, {""domanda_alt"": ""What kind of feelings does buying presents for others create?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.002131366583151661, ""B"": 0.0007656611629837295, ""C"": 0.00029361485882064024, ""D"": 0.0033430906797130284, ""E"": 0.9934655246147712, ""altro"": 1.1232460460367109e-06}, ""convergente"": true}, {""domanda_alt"": ""What kind of feelings does buying presents for others create?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.004217348041256711, ""B"": 0.00036736316075470783, ""C"": 0.00012763398534342736, ""D"": 0.0014441634838003826, ""E"": 0.9938423260930025, ""altro"": 1.2601287483996775e-06}, ""convergente"": true}, {""domanda_alt"": ""What kind of feelings does buying presents for others create?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.024171387546862565, ""B"": 0.005317106880573049, ""C"": 0.004421711640759503, ""D"": 0.0019933561323211904, ""E"": 0.9640948384452636, ""altro"": 2.1260809384025786e-06}, ""convergente"": true}, {""domanda_alt"": ""What kind of feelings does buying presents for others create?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.02252122564668068, ""B"": 0.11726850131008669, ""C"": 0.0009542816525790966, ""D"": 0.00047156285301262855, ""E"": 0.8587817858192606, ""altro"": 2.5745551157555883e-06}, ""convergente"": true}]",[]
9,Jesse  enjoyed remembering the past because he helped him understand it.  And understanding the past helped him with doing what?,E,4,"[{""domanda_alt"": ""Jesse  enjoyed remembering the past because he helped him understand it.  And understanding the past helped him with doing what?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.13420940853505287, ""B"": 0.1706263301675277, ""C"": 0.11650304589959229, ""D"": 0.13646850240568864, ""E"": 0.442186083437043, ""altro"": 6.158843187637705e-06}, ""convergente"": true}, {""domanda_alt"": ""Jesse  enjoyed remembering the past because he helped him understand it.  And understanding the past helped him with doing what?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.033958250543779864, ""B"": 0.13062678910903153, ""C"": 0.04402545631025455, ""D"": 0.0026516344897703054, ""E"": 0.7887349564025734, ""altro"": 2.242898111543675e-06}, ""convergente"": true}, {""domanda_alt"": ""Jesse  enjoyed remembering the past because he helped him understand it.  And understanding the past helped him with doing what?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.007992312544542315, ""B"": 0.002660332609274686, ""C"": 0.003568946961626232, ""D"": 0.0015646091236422362, ""E"": 0.9842131323512864, ""altro"": 8.712032223563769e-07}, ""convergente"": true}, {""domanda_alt"": ""Jesse  enjoyed remembering the past because he helped him understand it.  And understanding the past helped him with doing what?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.12298315925009141, ""B"": 0.04282967226397644, ""C"": 0.040676249141442154, ""D"": 0.02120238775730926, ""E"": 0.7723058634212444, ""altro"": 1.9365675259286273e-06}, ""convergente"": true}, {""domanda_alt"": ""Jesse  enjoyed remembering the past because he helped him understand it.  And understanding the past helped him with doing what?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.19560353492461457, ""B"": 0.29149009388706765, ""C"": 0.019265308245125026, ""D"": 0.03480043305301678, ""E"": 0.4588363164442502, ""altro"": 4.248018239216617e-06}, ""convergente"": true}]","[{""domanda_alt"": ""Jesse  enjoyed remembering the past because he helped him understand it.  And understanding the past helped him with doing what?"", ""risposta_pulita"": ""D"", ""probabilita"": {""A"": 0.29239738678339194, ""B"": 0.04321712914148152, ""C"": 0.06656990871498777, ""D"": 0.5273530592948988, ""E"": 0.07046053544260462, ""altro"": 1.6230411044838868e-06}, ""convergente"": true}, {""domanda_alt"": ""Jesse  enjoyed remembering the past because he helped him understand it.  And understanding the past helped him with doing what?"", ""risposta_pulita"": ""A"", ""probabilita"": {""A"": 0.5631877402349504, ""B"": 0.08759816827194743, ""C"": 0.026448017362656718, ""D"": 0.05996993008743686, ""E"": 0.2627928132257175, ""altro"": 3.1661803129803356e-06}, ""convergente"": true}, {""domanda_alt"": ""Jesse  enjoyed remembering the past because he helped him understand it.  And understanding the past helped him with doing what?"", ""risposta_pulita"": ""B"", ""probabilita"": {""A"": 0.11372705153948837, ""B"": 0.7159474987422115, ""C"": 0.014767889507141748, ""D"": 0.021116446129681308, ""E"": 0.13443890231128325, ""altro"": 2.4083125587800436e-06}, ""convergente"": true}, {""domanda_alt"": ""Jesse  enjoyed remembering the past because he helped him understand it.  And understanding the past helped him with doing what?"", ""risposta_pulita"": ""A"", ""probabilita"": {""A"": 0.5798253532717358, ""B"": 0.02776485199319154, ""C"": 0.015888700794943728, ""D"": 0.20188472617640418, ""E"": 0.17463425851061246, ""altro"": 2.0633709721199756e-06}, ""convergente"": true}]"
10,"He wasn't the hugging type, even when he meet friend he'd just do what?",E,5,"[{""domanda_alt"": ""He wasn't the hugging type, even when he meet friend he'd just do what?"", ""risposta_pulita"": ""C"", ""probabilita"": {""A"": 0.04132636928243603, ""B"": 0.044769457379753144, ""C"": 0.9126478035735759, ""D"": 0.0008375052649205616, ""E"": 0.0004186086894242382, ""altro"": 3.636829253990959e-07}, ""convergente"": true}, {""domanda_alt"": ""He wasn't the hugging type, even when he meet friend he'd just do what?"", ""risposta_pulita"": ""C"", ""probabilita"": {""A"": 0.021621980390474353, ""B"": 0.009275184585197854, ""C"": 0.963736792649427, ""D"": 0.00394511456838791, ""E"": 0.001420836502163363, ""altro"": 4.0358421284372634e-07}, ""convergente"": true}, {""domanda_alt"": ""He wasn't the hugging type, even when he meet friend he'd just do what?"", ""risposta_pulita"": ""C"", ""probabilita"": {""A"": 0.04771724287546242, ""B"": 0.028533146447008082, ""C"": 0.8337427471694744, ""D"": 0.08854285019848616, ""E"": 0.0014634893005911413, ""altro"": 8.214448296404564e-07}, ""convergente"": true}, {""domanda_alt"": ""He wasn't the hugging type, even when he meet friend he'd just do what?"", ""risposta_pulita"": ""C"", ""probabilita"": {""A"": 0.003744203573534812, ""B"": 0.001047424870504729, ""C"": 0.9932663461686702, ""D"": 0.0003623506050769865, ""E"": 0.0015794466216916994, ""altro"": 3.371216175564405e-07}, ""convergente"": true}, {""domanda_alt"": ""He wasn't the hugging type, even when he meet friend he'd just do what?"", ""risposta_pulita"": ""C"", ""probabilita"": {""A"": 0.0033681703629971182, ""B"": 0.0027925563085777084, ""C"": 0.991042991328034, ""D"": 0.0005751762592369361, ""E"": 0.002220973604087638, ""altro"": 2.381011069226774e-07}, ""convergente"": true}]","[{""domanda_alt"": ""He wasn't the hugging type, even when he meet friend he'd just do what?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.10634125650155404, ""B"": 0.008480141743192976, ""C"": 0.1165278121573048, ""D"": 0.03858631588476114, ""E"": 0.7300608386105867, ""altro"": 3.277890376745172e-06}, ""convergente"": true}, {""domanda_alt"": ""He wasn't the hugging type, even when he meet friend he'd just do what?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.16532267595120054, ""B"": 0.07729336830047491, ""C"": 0.015286994331312639, ""D"": 0.004884340161777882, ""E"": 0.7372077074067327, ""altro"": 3.999147936080193e-06}, ""convergente"": true}, {""domanda_alt"": ""He wasn't the hugging type, even when he meet friend he'd just do what?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.1545837799730287, ""B"": 0.02225981660843519, ""C"": 0.39371627715300717, ""D"": 0.008824388541994068, ""E"": 0.4206126035896178, ""altro"": 2.775860502995433e-06}, ""convergente"": true}, {""domanda_alt"": ""He wasn't the hugging type, even when he meet friend he'd just do what?"", ""risposta_pulita"": ""B"", ""probabilita"": {""A"": 0.2638701748603967, ""B"": 0.5209708882990243, ""C"": 0.08644259178540281, ""D"": 0.0547241973444508, ""E"": 0.07398934077263336, ""altro"": 2.23056971726403e-06}, ""convergente"": true}, {""domanda_alt"": ""He wasn't the hugging type, even when he meet friend he'd just do what?"", ""risposta_pulita"": ""E"", ""probabilita"": {""A"": 0.12678573268384644, ""B"": 0.08299829704147506, ""C"": 0.16631377124077978, ""D"": 0.045515862334680045, ""E"": 0.5783815852026631, ""altro"": 3.84665577741001e-06}, ""convergente"": true}]"
